NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPE1	29	5.861594200134277	0.00855531	Yes	
row_1	C1QBP	32	5.812370300292969	0.019680606	Yes	
row_2	MRPL12	40	5.616093158721924	0.029929865	Yes	
row_3	HSPD1	42	5.5952887535095215	0.040731013	Yes	
row_4	PUS1	44	5.471492767333984	0.051291	Yes	
row_5	BCL2L1	51	5.405547618865967	0.06122884	Yes	
row_6	HSPA9	100	4.595105171203613	0.06544098	Yes	
row_7	GCSH	105	4.552402019500732	0.073914334	Yes	
row_8	NDUFAB1	109	4.53490686416626	0.082452334	Yes	
row_9	MRPL17	118	4.477055549621582	0.09038396	Yes	
row_10	MRPL15	128	4.421436786651611	0.0981085	Yes	
row_11	ECI1	132	4.3715972900390625	0.10632837	Yes	
row_12	ATAD3A	144	4.294410705566406	0.11360798	Yes	
row_13	MRPS18B	145	4.292644023895264	0.12197025	Yes	
row_14	MRPS7	150	4.276183605194092	0.1299055	Yes	
row_15	TBRG4	174	4.0942583084106445	0.13561039	Yes	
row_16	MRPL45	178	4.0678253173828125	0.14323848	Yes	
row_17	MRPL13	187	4.009195327758789	0.1502587	Yes	
row_18	REXO2	190	3.9929111003875732	0.15783961	Yes	
row_19	MRPS35	194	3.9668338298797607	0.16527097	Yes	
row_20	TUFM	208	3.905212640762329	0.17159495	Yes	
row_21	FASTKD3	229	3.7586262226104736	0.1769422	Yes	
row_22	TXN2	232	3.7528345584869385	0.18405542	Yes	
row_23	DIMT1	243	3.689640522003174	0.19025566	Yes	
row_24	PRDX3	287	3.4644837379455566	0.19275898	Yes	
row_25	LYRM4	300	3.414863348007202	0.19822645	Yes	
row_26	MECR	310	3.37142276763916	0.20390551	Yes	
row_27	MRPL42	369	3.1783347129821777	0.20437036	Yes	
row_28	TRMT5	377	3.1571292877197266	0.20982945	Yes	
row_29	MRPL20	386	3.131471633911133	0.2151398	Yes	
row_30	MRPS10	388	3.1142706871032715	0.22110781	Yes	
row_31	ACAA2	402	3.0699868202209473	0.22580472	Yes	
row_32	SDHAF1	403	3.067816734313965	0.23178098	Yes	
row_33	ACADVL	408	3.05755615234375	0.2373423	Yes	
