NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA9	100	4.595105171203613	0.062150046	Yes	
row_1	ATAD3A	144	4.294410705566406	0.1250527	Yes	
row_2	TUFM	208	3.905212640762329	0.1799719	Yes	
row_3	ACADVL	408	3.05755615234375	0.20867354	Yes	
row_4	SHMT2	458	2.9282169342041016	0.24968497	Yes	
row_5	SOD2	469	2.9084057807922363	0.29411256	Yes	
row_6	ELAC2	498	2.8412015438079834	0.33577213	Yes	
row_7	SUPV3L1	528	2.790513277053833	0.37654525	Yes	
row_8	VDAC2	579	2.6691906452178955	0.4134193	Yes	
row_9	SSBP1	738	2.3485801219940186	0.4349744	Yes	
row_10	TRMT10C	891	2.133017063140869	0.45373896	Yes	
row_11	UQCC2	908	2.1178205013275146	0.48525712	Yes	
row_12	POLDIP2	947	2.066363573074341	0.5138709	Yes	
row_13	LRPPRC	949	2.0660817623138428	0.54601455	Yes	
row_14	FASTKD2	1077	1.8634841442108154	0.56296134	Yes	
row_15	VDAC1	1117	1.8182207345962524	0.58760756	Yes	
row_16	DHX30	1133	1.8008278608322144	0.61427486	Yes	
row_17	LRRC59	1206	1.7220016717910767	0.63426757	Yes	
row_18	SLC25A5	1232	1.699173927307129	0.6583935	Yes	
row_19	TEFM	1373	1.5631587505340576	0.6694122	Yes	
row_20	LONP1	1507	1.4508978128433228	0.6793479	Yes	
row_21	GRSF1	1766	1.2521402835845947	0.6742421	No	
row_22	TOP1MT	1980	1.094653844833374	0.6709773	No	
row_23	TFB1M	2247	0.9265493750572205	0.66002685	No	
row_24	POLRMT	2673	0.7307308912277222	0.6308331	No	
row_25	HSD17B10	2769	0.6855514645576477	0.63245606	No	
row_26	DNA2	3703	0.36946743726730347	0.54910094	No	
row_27	TERT	3797	0.3424360156059265	0.54556096	No	
row_28	TFB2M	4147	0.2526855170726776	0.51616734	No	
row_29	MPG	4472	0.1757591813802719	0.48796138	No	
row_30	DBT	4630	0.13960705697536469	0.47514316	No	
row_31	CLPX	5675	-0.04271102324128151	0.37608662	No	
row_32	FASTKD5	6030	-0.10259894281625748	0.34387347	No	
row_33	POLG2	6172	-0.12818381190299988	0.3324053	No	
row_34	DDX28	6370	-0.17027270793914795	0.31624478	No	
row_35	TFAM	6921	-0.30687522888183594	0.2684972	No	
row_36	HADHA	7445	-0.46639055013656616	0.22581774	No	
row_37	POLG	8332	-0.8582965731620789	0.15457979	No	
row_38	MTERF2	8831	-1.180533766746521	0.12543184	No	
row_39	HADHB	9701	-2.2212138175964355	0.077084705	No	
