NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.013517353	Yes	
row_1	NDUFAF4	30	5.845912456512451	0.020874426	Yes	
row_2	MRPL12	40	5.616093158721924	0.029713245	Yes	
row_3	HSPD1	42	5.5952887535095215	0.039307553	Yes	
row_4	BCL2L1	51	5.405547618865967	0.047880568	Yes	
row_5	PHB2	80	4.829602241516113	0.05347699	Yes	
row_6	FGR	88	4.757086753845215	0.061025556	Yes	
row_7	HSPA9	100	4.595105171203613	0.06789774	Yes	
row_8	COQ4	108	4.538275718688965	0.07506724	Yes	
row_9	NDUFAB1	109	4.53490686416626	0.08292349	Yes	
row_10	PHB	113	4.494336128234863	0.090412624	Yes	
row_11	MRPL17	118	4.477055549621582	0.09777289	Yes	
row_12	MRPL15	128	4.421436786651611	0.10454209	Yes	
row_13	COQ7	139	4.314727306365967	0.111027494	Yes	
row_14	ATAD3A	144	4.294410705566406	0.11807135	Yes	
row_15	MRPS18B	145	4.292644023895264	0.1255079	Yes	
row_16	MRPS7	150	4.276183605194092	0.13252017	Yes	
row_17	SIGMAR1	167	4.137570858001709	0.13810502	Yes	
row_18	MRPL45	178	4.0678253173828125	0.14416268	Yes	
row_19	MRPL13	187	4.009195327758789	0.15031667	Yes	
row_20	MRPS35	194	3.9668338298797607	0.15659514	Yes	
row_21	PTCD3	195	3.9644830226898193	0.16346319	Yes	
row_22	TIMM9	216	3.8439483642578125	0.1681436	Yes	
row_23	MRPS25	223	3.7808709144592285	0.17409992	Yes	
row_24	DHODH	251	3.6581015586853027	0.17776577	Yes	
row_25	SLC25A3	268	3.5408856868743896	0.18231693	Yes	
row_26	MTFP1	323	3.328913927078247	0.18274109	Yes	
row_27	PISD	330	3.2983338832855225	0.18786146	Yes	
row_28	TOMM40	336	3.2899556159973145	0.19306625	Yes	
row_29	TMEM70	347	3.247598171234131	0.19770297	Yes	
row_30	MTCH2	367	3.1837363243103027	0.20133857	Yes	
row_31	MRPL42	369	3.1783347129821777	0.20674576	Yes	
row_32	MRPL20	386	3.131471633911133	0.21058765	Yes	
row_33	MRPS10	388	3.1142706871032715	0.21588385	Yes	
row_34	HIGD1A	400	3.0736019611358643	0.22012019	Yes	
row_35	NDUFAF6	406	3.0600149631500244	0.22492664	Yes	
row_36	ACADVL	408	3.05755615234375	0.2301246	Yes	
row_37	RDH13	429	2.999232292175293	0.23334162	Yes	
row_38	MRPL39	443	2.9550678730010986	0.23717473	Yes	
row_39	SLC25A15	447	2.946988821029663	0.24198325	Yes	
row_40	SHMT2	458	2.9282169342041016	0.24606667	Yes	
row_41	MRPL38	482	2.8814990520477295	0.24878292	Yes	
row_42	TIMM50	496	2.8457443714141846	0.25242662	Yes	
row_43	MRPL35	506	2.8266608715057373	0.25643304	Yes	
row_44	MRPL19	540	2.7763102054595947	0.25797766	Yes	
row_45	MTX2	542	2.773937463760376	0.26268426	Yes	
row_46	MRPS28	553	2.7475831508636475	0.26645476	Yes	
row_47	SFXN1	554	2.73966383934021	0.27120093	Yes	
row_48	MRPL1	559	2.7132859230041504	0.27550566	Yes	
row_49	TIMM17A	562	2.708137273788452	0.27999935	Yes	
row_50	MRPS15	568	2.693054676055908	0.28417006	Yes	
row_51	MRPS34	570	2.6900136470794678	0.28873128	Yes	
row_52	CYC1	575	2.6759016513824463	0.29297125	Yes	
row_53	SDHD	577	2.670950412750244	0.29749945	Yes	
row_54	L2HGDH	587	2.6429829597473145	0.30118766	Yes	
row_55	NDUFB6	592	2.632450819015503	0.30535233	Yes	
row_56	ACAD9	595	2.6249969005584717	0.30970198	Yes	
row_57	NDUFA12	603	2.6164188385009766	0.31354207	Yes	
