NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNX5	171	4.1128973960876465	0.06594998	No	
row_1	TRIP10	1566	1.3988261222839355	-0.038988538	No	
row_2	TNF	1857	1.1795778274536133	-0.043048672	No	
row_3	TICAM2	4922	0.08548638969659805	-0.3334824	No	
row_4	ARHGAP12	4960	0.07761739194393158	-0.33545798	No	
row_5	PIP5K1C	5360	0.0070199319161474705	-0.37336108	No	
row_6	SH3BP1	5578	-0.027833200991153717	-0.39349476	No	
row_7	ANXA1	5606	-0.03330446779727936	-0.39540306	No	
row_8	LCP1	6386	-0.17419493198394775	-0.4661947	No	
row_9	RAB31	6605	-0.22520974278450012	-0.48247635	No	
row_10	RAB11FIP2	8173	-0.772779643535614	-0.6164303	No	
row_11	CORO1A	9252	-1.5723302364349365	-0.6877692	Yes	
row_12	MCOLN1	9528	-1.9154679775238037	-0.67568195	Yes	
row_13	CDC42SE2	9619	-2.071531295776367	-0.6428344	Yes	
row_14	MYO1G	9824	-2.471473217010498	-0.61285794	Yes	
row_15	DNM2	9942	-2.750030279159546	-0.5690153	Yes	
row_16	BIN2	10052	-3.0765321254730225	-0.51788026	Yes	
row_17	ABCA7	10335	-4.537087440490723	-0.45403036	Yes	
row_18	ARHGAP25	10454	-5.987391471862793	-0.34553877	Yes	
row_19	PEAR1	10501	-8.053895950317383	-0.18885389	Yes	
row_20	SYT11	10508	-9.471718788146973	5.69853E-8	Yes	
