NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL2RA	102	4.590158939361572	0.029490123	No	
row_1	TFRC	256	3.5780036449432373	0.04543269	No	
row_2	ITGB1	726	2.3575551509857178	0.0206432	No	
row_3	ABHD6	1026	1.947605013847351	0.008642696	No	
row_4	HTRA2	1189	1.7420440912246704	0.008016332	No	
row_5	CALCRL	1190	1.7393667697906494	0.022896206	No	
row_6	PTPN6	1261	1.6649576425552368	0.030429404	No	
row_7	ITGA9	1603	1.3718935251235962	0.009477749	No	
row_8	IL12RB1	2329	0.8821876049041748	-0.052473042	No	
row_9	STXBP5	2674	0.7302696108818054	-0.079201214	No	
row_10	IL2RB	2894	0.6288431882858276	-0.09481471	No	
row_11	TRAF5	3135	0.5507460236549377	-0.11310934	No	
row_12	IL10RB	3215	0.5198072791099548	-0.11623536	No	
row_13	CD79B	3437	0.4513517916202545	-0.13355897	No	
row_14	B2M	4265	0.22289039194583893	-0.2109275	No	
row_15	DIABLO	4325	0.21296972036361694	-0.21476127	No	
row_16	TRAF6	4409	0.18998096883296967	-0.22109231	No	
row_17	DLG3	4475	0.17568185925483704	-0.22582023	No	
row_18	TRAF4	4508	0.16772769391536713	-0.22745284	No	
row_19	TLR2	4818	0.10330452769994736	-0.2561895	No	
row_20	CSF2RA	4826	0.10157918930053711	-0.25599152	No	
row_21	TRAF3	4881	0.09214390069246292	-0.26037964	No	
row_22	EMILIN1	4975	0.07443077117204666	-0.26865777	No	
row_23	TRAF1	5225	0.03144509345293045	-0.29225764	No	
row_24	DLG4	5247	0.028126971796154976	-0.29403004	No	
row_25	ITGAV	5396	1.1951800115639344E-4	-0.30821612	No	
row_26	CHUK	5827	-0.06826365739107132	-0.34885147	No	
row_27	ITGB3	5874	-0.07494158297777176	-0.3526199	No	
row_28	CD79A	6180	-0.12954016029834747	-0.38074866	No	
row_29	TRAF2	6266	-0.1481858640909195	-0.38762897	No	
row_30	ITGA5	6354	-0.1665758192539215	-0.39454368	No	
row_31	CHRNA2	6557	-0.21205896139144897	-0.41209307	No	
row_32	CD3E	6803	-0.27544668316841125	-0.43322212	No	
row_33	APBB1IP	6925	-0.308422327041626	-0.44218254	No	
row_34	CHRNB1	7269	-0.40518152713775635	-0.4715959	No	
row_35	ITGAL	7652	-0.5520721673965454	-0.50349116	No	
row_36	IKBKB	8000	-0.6924185156822205	-0.53083074	No	
row_37	GRIK5	8043	-0.7116596102714539	-0.5287687	No	
row_38	TLR6	8158	-0.7671622037887573	-0.53313375	No	
row_39	ACVR2A	8248	-0.8163962960243225	-0.5346811	No	
row_40	CD4	8336	-0.8603073954582214	-0.5356611	Yes	
row_41	IL6ST	8366	-0.8809401988983154	-0.53090477	Yes	
row_42	INSR	8390	-0.906408965587616	-0.5253554	Yes	
row_43	CD3G	8425	-0.9289950728416443	-0.52066725	Yes	
row_44	ERBB3	8528	-0.985805332660675	-0.5220116	Yes	
row_45	TGFBR1	8655	-1.0623750686645508	-0.5250014	Yes	
row_46	RAMP1	8780	-1.1310064792633057	-0.52721244	Yes	
row_47	RNF31	8887	-1.2248547077178955	-0.5268951	Yes	
row_48	ITGA6	8963	-1.2851909399032593	-0.52309	Yes	
row_49	ABHD12	9043	-1.3446475267410278	-0.51915973	Yes	
row_50	BIRC2	9068	-1.3767393827438354	-0.50968266	Yes	
row_51	ITGA4	9147	-1.453834056854248	-0.5047225	Yes	
row_52	ZAP70	9258	-1.5798618793487549	-0.5017516	Yes	
row_53	ITGB2	9274	-1.5902782678604126	-0.489585	Yes	
row_54	ITGA3	9335	-1.6545482873916626	-0.48118228	Yes	
row_55	TSPAN32	9381	-1.708196759223938	-0.4708827	Yes	
row_56	ACVR1B	9432	-1.7764832973480225	-0.46047825	Yes	
row_57	ITGAM	9450	-1.801298975944519	-0.44669816	Yes	
row_58	IL18R1	9488	-1.8554984331130981	-0.4343716	Yes	
row_59	RAMP3	9503	-1.879115343093872	-0.41963822	Yes	
row_60	CD3D	9548	-1.9608653783798218	-0.40708128	Yes	
row_61	CD247	9582	-2.0098631381988525	-0.3930507	Yes	
row_62	IGF1R	9651	-2.1253538131713867	-0.3813872	Yes	
row_63	IL18RAP	9696	-2.207991600036621	-0.36671615	Yes	
row_64	PTK2B	9731	-2.281625986099243	-0.3504566	Yes	
row_65	IL27RA	9745	-2.3184783458709717	-0.3318687	Yes	
row_66	TRAT1	9758	-2.3464887142181396	-0.31294537	Yes	
row_67	SDCBP	9924	-2.6993045806884766	-0.30567017	Yes	
row_68	JAK2	10109	-3.28725528717041	-0.2951865	Yes	
row_69	ACVRL1	10199	-3.677271842956543	-0.27225974	Yes	
row_70	TGFBR2	10227	-3.8226187229156494	-0.24214634	Yes	
row_71	TLR1	10301	-4.299626350402832	-0.21236174	Yes	
row_72	GABBR1	10326	-4.468960762023926	-0.17643145	Yes	
row_73	SKAP1	10409	-5.247424125671387	-0.1394014	Yes	
row_74	ITGB7	10425	-5.435919761657715	-0.09433627	Yes	
row_75	LIME1	10430	-5.521812438964844	-0.047481902	Yes	
row_76	ITGA7	10470	-6.413170337677002	0.0036427646	Yes	
