NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAGOHB	121	4.447060585021973	0.060978226	Yes	
row_1	SNRPD3	196	3.9591190814971924	0.11848983	Yes	
row_2	PRPF31	375	3.1682252883911133	0.15315674	Yes	
row_3	TXNL4A	436	2.9675939083099365	0.19583176	Yes	
row_4	LSM2	473	2.9005680084228516	0.23970783	Yes	
row_5	LSM3	539	2.776625871658325	0.27878952	Yes	
row_6	LSM7	555	2.735093832015991	0.3219738	Yes	
row_7	SNRPD1	861	2.183228015899658	0.3284307	Yes	
row_8	SNRPA1	878	2.158540725708008	0.36211392	Yes	
row_9	PHF5A	940	2.072814464569092	0.39009658	Yes	
row_10	SNRPD2	1029	1.9434586763381958	0.41338772	Yes	
row_11	SF3A3	1118	1.8166595697402954	0.43461037	Yes	
row_12	CWC27	1256	1.6712841987609863	0.448777	Yes	
row_13	LSM8	1264	1.6621637344360352	0.4752231	Yes	
row_14	SF3B3	1388	1.553826093673706	0.488812	Yes	
row_15	SNRPE	1427	1.5157277584075928	0.5099056	Yes	
row_16	PRPF3	1497	1.456421971321106	0.527068	Yes	
row_17	SNRPG	1596	1.375427484512329	0.5401367	Yes	
row_18	SNRPB	1742	1.2680326700210571	0.5469601	Yes	
row_19	LSM6	1765	1.2536792755126953	0.5653085	Yes	
row_20	PRPF8	1781	1.2435016632080078	0.58416003	Yes	
row_21	SF3B5	1809	1.2140909433364868	0.6013846	Yes	
row_22	SF3A1	1838	1.1939893960952759	0.6181856	Yes	
row_23	SNRPB2	1879	1.167508840560913	0.63340735	Yes	
row_24	SF3B4	1909	1.1440941095352173	0.64929885	Yes	
row_25	SMU1	2213	0.9472833871841431	0.6357846	Yes	
row_26	BUD13	2254	0.923333466053009	0.64702314	Yes	
row_27	EFTUD2	2325	0.8833879828453064	0.6547419	Yes	
row_28	PRPF38B	2336	0.8777543306350708	0.66810495	Yes	
row_29	SF3A2	2518	0.7916849851608276	0.6637159	No	
row_30	CWC22	2796	0.6741167306900024	0.6482311	No	
row_31	RBMX2	2910	0.6244816184043884	0.6476154	No	
row_32	SNRNP200	2953	0.6125817894935608	0.6535933	No	
row_33	SF3B6	3107	0.558982789516449	0.648085	No	
row_34	SRRM2	3177	0.533992350101471	0.6501996	No	
row_35	SNRPF	3217	0.5191314220428467	0.65493983	No	
row_36	PRPF38A	3273	0.49999552965164185	0.6578383	No	
row_37	PRPF4	3506	0.42720717191696167	0.64262766	No	
row_38	SF3B1	3694	0.3711180090904236	0.6308042	No	
row_39	LSM5	3737	0.36042484641075134	0.6326686	No	
row_40	SF3B2	4376	0.19982269406318665	0.5749341	No	
row_41	SNIP1	5013	0.06753713637590408	0.5152328	No	
row_42	ZMAT2	5239	0.029338866472244263	0.4942009	No	
row_43	WBP4	5384	0.003696356900036335	0.48049447	No	
row_44	IK	5424	-0.004442313220351934	0.47683844	No	
row_45	LSM4	5769	-0.059729937463998795	0.44492564	No	
row_46	PRPF6	5989	-0.09551072120666504	0.42554682	No	
row_47	SART1	6142	-0.12290751188993454	0.4130203	No	
row_48	DHX16	6757	-0.2626022398471832	0.3586044	No	
