NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NIP7	34	5.753580570220947	0.031926796	Yes	
row_1	PPAN	35	5.748079776763916	0.06707634	Yes	
row_2	RSL1D1	58	5.337189197540283	0.09760622	Yes	
row_3	MRTO4	74	4.910591125488281	0.12619787	Yes	
row_4	NOP56	78	4.855929374694824	0.15560459	Yes	
row_5	NOP58	84	4.801177978515625	0.18448494	Yes	
row_6	FBL	99	4.607914924621582	0.2113215	Yes	
row_7	WDR74	101	4.591402530670166	0.23930219	Yes	
row_8	LTV1	122	4.442068099975586	0.26454994	Yes	
row_9	FTSJ3	124	4.435980796813965	0.29158023	Yes	
row_10	RRP9	130	4.393106460571289	0.3179652	Yes	
row_11	BYSL	156	4.244655609130859	0.34152693	Yes	
row_12	RRP1B	220	3.8092150688171387	0.35878637	Yes	
row_13	RRP15	247	3.667435646057129	0.3787226	Yes	
row_14	IMP4	258	3.575809955596924	0.39963093	Yes	
row_15	NOB1	267	3.5448877811431885	0.42054173	Yes	
row_16	MPHOSPH10	269	3.5360121726989746	0.4420687	Yes	
row_17	WDR36	350	3.2375288009643555	0.4542041	Yes	
row_18	NOC4L	359	3.213181495666504	0.47308654	Yes	
row_19	LAS1L	398	3.0815770626068115	0.4882909	Yes	
row_20	EBNA1BP2	428	3.00347900390625	0.50387967	Yes	
row_21	TBL3	457	2.929062843322754	0.5191092	Yes	
row_22	TSR1	466	2.9159536361694336	0.53617406	Yes	
row_23	PES1	477	2.893566370010376	0.55291045	Yes	
row_24	BOP1	478	2.8917932510375977	0.57059383	Yes	
row_25	PWP2	480	2.8871116638183594	0.58815277	Yes	
row_26	WDR46	514	2.8123579025268555	0.6021897	Yes	
row_27	UTP18	567	2.6956472396850586	0.61369324	Yes	
row_28	UTP20	572	2.6815292835235596	0.6297077	Yes	
row_29	DCAF13	616	2.5752134323120117	0.6413368	Yes	
row_30	NOL10	628	2.5458381175994873	0.65585107	Yes	
row_31	RRP7A	710	2.40057635307312	0.6627727	Yes	
row_32	MDN1	718	2.3808038234710693	0.67666095	Yes	
row_33	EIF6	834	2.214841842651367	0.67919046	Yes	
row_34	KRR1	847	2.1982028484344482	0.69148314	Yes	
row_35	FCF1	903	2.119481325149536	0.6991761	Yes	
row_36	XRCC5	1030	1.941595435142517	0.69898117	Yes	
row_37	RIOK2	1040	1.930647373199463	0.7099251	Yes	
row_38	HEATR1	1071	1.8687711954116821	0.71847934	Yes	
row_39	RRS1	1087	1.8490773439407349	0.7283498	Yes	
row_40	UTP14A	1107	1.823742389678955	0.7376823	Yes	
row_41	RPS7	1153	1.7798781394958496	0.7442563	Yes	
row_42	SRFBP1	1226	1.7026687860488892	0.7477723	Yes	
row_43	MAK16	1251	1.6765104532241821	0.7557255	Yes	
row_44	UTP6	1337	1.5914865732192993	0.75731647	Yes	
row_45	WDR3	1403	1.5380481481552124	0.7604962	Yes	
row_46	NOL6	1484	1.4669692516326904	0.76180464	Yes	
row_47	WDR12	1485	1.4665417671203613	0.7707725	Yes	
row_48	PDCD11	1502	1.4540926218032837	0.7781319	Yes	
row_49	NOP14	1588	1.3805376291275024	0.7784329	Yes	
row_50	IMP3	1887	1.1601253747940063	0.7569857	No	
row_51	UTP3	2007	1.0739473104476929	0.7521556	No	
row_52	NOP9	2029	1.0562416315078735	0.7566032	No	
row_53	RIOK1	2344	0.8756644129753113	0.7318841	No	
row_54	NOC2L	2449	0.8332217931747437	0.7270186	No	
row_55	RPF1	2499	0.8004231452941895	0.7272201	No	
row_56	BMS1	2820	0.6626753807067871	0.700624	No	
row_57	NSA2	2974	0.6040183305740356	0.68966377	No	
row_58	RRP1	3081	0.5679090619087219	0.6829843	No	
row_59	EMG1	3521	0.4217608571052551	0.64351755	No	
row_60	RRP36	4527	0.16183599829673767	0.54825205	No	
row_61	NGDN	5325	0.014905816875398159	0.4720095	No	
row_62	WDR37	5448	-0.007337973918765783	0.46036968	No	
row_63	UTP23	6015	-0.09946046769618988	0.4067685	No	
row_64	FBXW9	6235	-0.14229124784469604	0.38666362	No	
row_65	KRI1	7971	-0.6818200945854187	0.22466113	No	
row_66	RIOK3	9050	-1.3515956401824951	0.12967932	No	
row_67	PRKDC	9296	-1.613518238067627	0.11608082	No	
