NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS18B	145	4.292644023895264	0.026844196	Yes	
row_1	MRPS7	150	4.276183605194092	0.067028925	Yes	
row_2	MRPS35	194	3.9668338298797607	0.10054577	Yes	
row_3	MRPL42	369	3.1783347129821777	0.11404274	Yes	
row_4	MRPS10	388	3.1142706871032715	0.14186445	Yes	
row_5	RPS5	399	3.0786116123199463	0.17011364	Yes	
row_6	RPS6	510	2.8166792392730713	0.18630578	Yes	
row_7	RPS27A	513	2.815023422241211	0.21282011	Yes	
row_8	RPS4X	548	2.7600643634796143	0.23574997	Yes	
row_9	MRPS28	553	2.7475831508636475	0.26143306	Yes	
row_10	RPS2	561	2.711987018585205	0.2864913	Yes	
row_11	MRPS15	568	2.693054676055908	0.31146565	Yes	
row_12	MRPS34	570	2.6900136470794678	0.33688974	Yes	
row_13	RPS8	634	2.532282590866089	0.35488275	Yes	
row_14	DHX29	744	2.336890459060669	0.36661893	Yes	
row_15	EIF2A	773	2.2922065258026123	0.3856846	Yes	
row_16	MRPS17	795	2.2644307613372803	0.40515682	Yes	
row_17	RPS12	826	2.224153757095337	0.42338547	Yes	
row_18	RPS27L	866	2.179076671600342	0.44032496	Yes	
row_19	MRPS22	875	2.165330648422241	0.4601014	Yes	
row_20	MRPS18A	892	2.1329140663146973	0.47880456	Yes	
row_21	RPS9	975	2.021801710128784	0.490136	Yes	
row_22	MRPS33	978	2.0149590969085693	0.5090602	Yes	
row_23	RPS7	1153	1.7798781394958496	0.5092902	Yes	
row_24	MRPS27	1171	1.7553083896636963	0.5243153	Yes	
row_25	RPS13	1205	1.7223217487335205	0.537496	Yes	
row_26	MRPS2	1237	1.6911718845367432	0.5505726	Yes	
row_27	RPS11	1270	1.6573717594146729	0.5632328	Yes	
row_28	RPS26	1339	1.5911322832107544	0.5718186	Yes	
row_29	RPS10	1344	1.589475393295288	0.58651483	Yes	
row_30	RPS23	1412	1.5284323692321777	0.5946016	Yes	
row_31	RPS16	1477	1.4720252752304077	0.60244036	Yes	
row_32	RPS15	1541	1.4204641580581665	0.60988563	Yes	
row_33	RPS25	1558	1.4029964208602905	0.62166417	Yes	
row_34	MRPS14	1689	1.3089572191238403	0.6216383	Yes	
row_35	RPS17	1703	1.2992138862609863	0.6327194	Yes	
row_36	MRPS24	1822	1.2064989805221558	0.6328702	Yes	
row_37	RPS19	1859	1.1772502660751343	0.6405927	Yes	
row_38	MRPS9	1864	1.1753846406936646	0.6513605	Yes	
row_39	MRPS18C	1895	1.1566251516342163	0.6594616	Yes	
row_40	RPS3	1964	1.1039999723434448	0.6634261	Yes	
row_41	RPS24	2008	1.0733542442321777	0.66949284	Yes	
row_42	RPS20	2022	1.0602314472198486	0.67830676	Yes	
row_43	MRPS5	2023	1.0601890087127686	0.6883646	Yes	
row_44	RPS14	2142	0.9877768158912659	0.68644047	No	
row_45	RPS18	2559	0.7717136144638062	0.6539416	No	
row_46	MRPS12	2563	0.77006995677948	0.66095996	No	
row_47	RPSA	2693	0.7191480994224548	0.65543437	No	
row_48	RPS28	2753	0.6904450058937073	0.65633696	No	
row_49	UBA52	2849	0.649747908115387	0.6534076	No	
row_50	RPS21	2853	0.6483086347579956	0.6592708	No	
row_51	MRPS16	2965	0.6068153977394104	0.65440255	No	
row_52	RPS15A	3029	0.5872795581817627	0.65394354	No	
row_53	MRPS26	3352	0.47368791699409485	0.6276151	No	
row_54	RPS27	3409	0.458025187253952	0.62659997	No	
row_55	RPS29	3927	0.31025052070617676	0.58005536	No	
row_56	MRPS21	4084	0.26757583022117615	0.5676613	No	
row_57	MRPS11	4332	0.2110665887594223	0.5460205	No	
row_58	DAP3	5504	-0.015640217810869217	0.4340793	No	
row_59	MRPS6	7727	-0.5809069275856018	0.22689764	No	
row_60	ISG15	9481	-1.8457163572311401	0.07660835	No	
row_61	B3GALT4	9729	-2.2769908905029297	0.07456673	No	
