NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DYNLL1	1381	1.5572808980941772	-0.101386204	No	
row_1	ATP8B4	1493	1.4585410356521606	-0.08346215	No	
row_2	CYBB	1577	1.3926640748977661	-0.06415323	No	
row_3	RAB14	2118	0.9973369836807251	-0.096202336	No	
row_4	CYBA	2238	0.9301607012748718	-0.0893741	No	
row_5	GAA	2245	0.9269484877586365	-0.07182108	No	
row_6	NRAS	2479	0.8128886818885803	-0.07816907	No	
row_7	LAMTOR3	2683	0.7245626449584961	-0.083380245	No	
row_8	LAIR1	3197	0.5267273187637329	-0.12205422	No	
row_9	LAMTOR2	3509	0.42628365755081177	-0.14340828	No	
row_10	ATP11A	3519	0.4229128360748291	-0.13599771	No	
row_11	VAMP8	3584	0.40378516912460327	-0.13421178	No	
row_12	ADAM10	5255	0.027035124599933624	-0.29311034	No	
row_13	COPB1	5303	0.018410466611385345	-0.29723722	No	
row_14	RAP2C	5394	7.937800255604088E-4	-0.30581358	No	
row_15	STOM	5941	-0.08727029711008072	-0.35623115	No	
row_16	UBR4	6243	-0.14339624345302582	-0.38216224	No	
row_17	RAP2B	6286	-0.1515795886516571	-0.38320777	No	
row_18	SLC2A3	6555	-0.21141164004802704	-0.40465847	No	
row_19	SNAP23	6654	-0.23635999858379364	-0.40939224	No	
row_20	HGSNAT	8635	-1.0491383075714111	-0.57789856	No	
row_21	ADAM8	9188	-1.51054847240448	-0.60105777	Yes	
row_22	ITGB2	9274	-1.5902782678604126	-0.5780756	Yes	
row_23	KCNAB2	9354	-1.67844557762146	-0.5527966	Yes	
row_24	ITGAM	9450	-1.801298975944519	-0.5266427	Yes	
row_25	CD47	9735	-2.2922310829162598	-0.50893193	Yes	
row_26	VAMP1	9885	-2.585245370864868	-0.47260365	Yes	
row_27	TSPAN14	9964	-2.803612470626831	-0.42522734	Yes	
row_28	ANO6	10037	-3.0113272666931152	-0.3732165	Yes	
row_29	NBEAL2	10079	-3.1867687702178955	-0.31481564	Yes	
row_30	ATP6AP2	10099	-3.251559019088745	-0.2530476	Yes	
row_31	TMC6	10242	-3.978999137878418	-0.1887972	Yes	
row_32	CD53	10397	-5.182558059692383	-0.1021577	Yes	
row_33	TMEM63A	10445	-5.761338710784912	0.00601426	Yes	
