NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF3G	151	4.25984525680542	0.12227897	Yes	
row_1	EIF3A	293	3.449751377105713	0.21952054	Yes	
row_2	EIF3I	348	3.246763229370117	0.31854084	Yes	
row_3	EIF2S1	356	3.221670627593994	0.42123526	Yes	
row_4	EIF3M	431	2.977630615234375	0.5097149	Yes	
row_5	EIF3E	532	2.785694122314453	0.5895588	Yes	
row_6	EIF3D	583	2.6590957641601562	0.670106	Yes	
row_7	DHX29	744	2.336890459060669	0.7298327	Yes	
row_8	EIF3B	1080	1.85782790184021	0.75751173	Yes	
row_9	EIF3C	1253	1.6730848550796509	0.7947978	Yes	
row_10	EIF3L	1579	1.3921047449111938	0.80848795	Yes	
row_11	EIF1	2010	1.0731416940689087	0.8019381	No	
row_12	EIF1B	5555	-0.02337203547358513	0.46493897	No	
row_13	EIF3F	5734	-0.05281037464737892	0.4496696	No	
row_14	EIF3K	5810	-0.06567170470952988	0.44462895	No	
row_15	EIF3H	5982	-0.09359408915042877	0.43133518	No	
