NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLR2H	169	4.124131202697754	0.059113268	Yes	
row_1	POLR1C	175	4.08437442779541	0.13316192	Yes	
row_2	POLR2E	182	4.038355350494385	0.20627539	Yes	
row_3	POLR2F	444	2.94885516166687	0.23515849	Yes	
row_4	POLR1B	452	2.934499979019165	0.2880348	Yes	
row_5	POLR1A	471	2.9052910804748535	0.33932772	Yes	
row_6	POLR3D	485	2.8637447357177734	0.39034006	Yes	
row_7	POLR1E	497	2.8454012870788574	0.44120866	Yes	
row_8	POLR2D	720	2.3721086978912354	0.46329227	Yes	
row_9	POLR3K	767	2.299379348754883	0.50085557	Yes	
row_10	POLR3E	902	2.1195411682128906	0.52673405	Yes	
row_11	POLR3F	1007	1.9754797220230103	0.55284864	Yes	
row_12	POLR2J	1276	1.6527076959609985	0.557413	Yes	
row_13	POLR3H	1292	1.6338191032409668	0.5857923	Yes	
row_14	POLR2K	1328	1.6005332469940186	0.6116544	Yes	
row_15	TRNT1	1371	1.5638768672943115	0.6361792	Yes	
row_16	POLR2L	1391	1.549486517906189	0.66263777	Yes	
row_17	POLR1D	1500	1.4543356895446777	0.67886126	Yes	
row_18	MED21	2100	1.0090945959091187	0.6400737	No	
row_19	POLR2B	2304	0.8916545510292053	0.6369584	No	
row_20	POLR2C	2342	0.8762421607971191	0.64941365	No	
row_21	RMRP	2522	0.7894188761711121	0.6467247	No	
row_22	POLRMT	2673	0.7307308912277222	0.64573413	No	
row_23	POLR2I	2932	0.6184554696083069	0.63238174	No	
row_24	MED20	3193	0.5273146033287048	0.61717534	No	
row_25	POLR2G	3580	0.40411433577537537	0.5876889	No	
row_26	RPAP1	3614	0.39391496777534485	0.5917253	No	
row_27	PRIM1	3646	0.3838987350463867	0.5957698	No	
row_28	TERT	3797	0.3424360156059265	0.5876942	No	
row_29	POLR3A	4024	0.28256022930145264	0.5712687	No	
row_30	POLR2A	4251	0.22594185173511505	0.55381	No	
row_31	CRCP	4938	0.08188577741384506	0.4897961	No	
row_32	POLR3G	5172	0.03990287706255913	0.46827438	No	
row_33	POLR2M	5356	0.008449473418295383	0.4509534	No	
row_34	POLR3B	5526	-0.018912585452198982	0.4351602	No	
row_35	POLR3C	8697	-1.0863491296768188	0.15227042	No	
row_36	PRIMPOL	8770	-1.1274086236953735	0.16596636	No	
