NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.07887749	Yes	
row_1	NOP56	78	4.855929374694824	0.1373618	Yes	
row_2	NOP58	84	4.801177978515625	0.20008765	Yes	
row_3	DKC1	112	4.5052490234375	0.25681844	Yes	
row_4	RRP9	130	4.393106460571289	0.3130273	Yes	
row_5	NOLC1	141	4.301348686218262	0.3686962	Yes	
row_6	BYSL	156	4.244655609130859	0.42323712	Yes	
row_7	IMP4	258	3.575809955596924	0.46067098	Yes	
row_8	GAR1	374	3.170020818710327	0.491427	Yes	
row_9	NUDT5	409	3.0517897605895996	0.5283564	Yes	
row_10	TBL3	457	2.929062843322754	0.56242955	Yes	
row_11	DDX21	460	2.9268064498901367	0.6007674	Yes	
row_12	TSR1	466	2.9159536361694336	0.63867605	Yes	
row_13	NUFIP1	502	2.8304407596588135	0.6725961	Yes	
row_14	XRCC5	1030	1.941595435142517	0.64786434	Yes	
row_15	DHX37	1063	1.8803589344024658	0.6695638	Yes	
row_16	HEATR1	1071	1.8687711954116821	0.6934964	Yes	
row_17	UTP6	1337	1.5914865732192993	0.68915814	Yes	
row_18	WDR3	1403	1.5380481481552124	0.70320225	Yes	
row_19	NOP10	1573	1.3965778350830078	0.70545936	Yes	
row_20	NOP14	1588	1.3805376291275024	0.72229683	Yes	
row_21	IMP3	1887	1.1601253747940063	0.709131	No	
row_22	NUDT4	2367	0.8645207285881042	0.6748011	No	
row_23	BMS1	2820	0.6626753807067871	0.64039075	No	
row_24	NUDT1	3397	0.46193361282348633	0.5915046	No	
row_25	NUDT16L1	4905	0.08798424154520035	0.44885138	No	
row_26	NUDT7	7607	-0.5297384262084961	0.1980713	No	
row_27	PRKDC	9296	-1.613518238067627	0.058227688	No	
row_28	NUDT16	9406	-1.7344744205474854	0.07065866	No	
row_29	ISG20	9899	-2.613832473754883	0.058116272	No	
