NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF2S2	60	5.300622940063477	0.03666787	Yes	
row_1	DENR	104	4.5703301429748535	0.069120444	Yes	
row_2	EEF1G	117	4.479089736938477	0.10381255	Yes	
row_3	EIF4A1	149	4.282050132751465	0.13510786	Yes	
row_4	EIF3G	151	4.25984525680542	0.16909932	Yes	
row_5	TUFM	208	3.905212640762329	0.1949843	Yes	
row_6	EEF1D	231	3.7551968097686768	0.22292587	Yes	
row_7	EIF5	248	3.664923667907715	0.25071985	Yes	
row_8	EIF5A	271	3.5260114669799805	0.27682748	Yes	
row_9	EIF4E	284	3.4708878993988037	0.303452	Yes	
row_10	EIF3A	293	3.449751377105713	0.3302905	Yes	
row_11	EIF3I	348	3.246763229370117	0.35109818	Yes	
row_12	EIF2S1	356	3.221670627593994	0.37620738	Yes	
row_13	EIF2B1	373	3.171718120574951	0.40005475	Yes	
row_14	EIF1AX	404	3.0654656887054443	0.42171073	Yes	
row_15	EIF3M	431	2.977630615234375	0.44304705	Yes	
row_16	ETF1	489	2.8532042503356934	0.46041808	Yes	
row_17	EIF3E	532	2.785694122314453	0.4786858	Yes	
row_18	EIF2B3	551	2.750967025756836	0.4989747	Yes	
row_19	EIF3D	583	2.6590957641601562	0.51728314	Yes	
row_20	EIF4B	594	2.6312215328216553	0.5373802	Yes	
row_21	EIF5B	627	2.5491981506347656	0.5547135	Yes	
row_22	DHX29	744	2.336890459060669	0.56230104	Yes	
row_23	EIF2A	773	2.2922065258026123	0.577961	Yes	
row_24	COPS5	775	2.2900633811950684	0.59619033	Yes	
row_25	EIF6	834	2.214841842651367	0.60835737	Yes	
row_26	EEF1B2	980	2.0136618614196777	0.61058044	Yes	
row_27	TSFM	1046	1.9171292781829834	0.61969465	Yes	
row_28	EIF2B4	1061	1.888022780418396	0.6334615	Yes	
row_29	EIF3B	1080	1.85782790184021	0.6466035	Yes	
row_30	GSPT1	1246	1.6815073490142822	0.6442528	Yes	
row_31	EIF3C	1253	1.6730848550796509	0.65706605	Yes	
row_32	EIF4G1	1271	1.6568982601165771	0.66869605	Yes	
row_33	EIF4A2	1503	1.453824758529663	0.658201	Yes	
row_34	EIF3L	1579	1.3921047449111938	0.662156	Yes	
row_35	ABCF1	1701	1.3001607656478882	0.6609687	Yes	
row_36	GFM1	1755	1.2618484497070312	0.6659889	Yes	
row_37	EIF4G2	1760	1.2585585117340088	0.6756767	Yes	
row_38	EIF4H	1918	1.1369547843933105	0.66973484	No	
row_39	EIF1	2010	1.0731416940689087	0.6696048	No	
row_40	AGO2	2040	1.0491586923599243	0.6752221	No	
row_41	EIF2B5	2179	0.9691480994224548	0.6697576	No	
row_42	MTIF2	2519	0.7916451692581177	0.6436179	No	
row_43	EIF2D	3294	0.4933800995349884	0.57342094	No	
row_44	MTRF1	3789	0.34546709060668945	0.52886283	No	
row_45	EEF1A1	3909	0.314325213432312	0.51997846	No	
row_46	GFM2	4018	0.28348204493522644	0.5119011	No	
row_47	MCTS1	4168	0.2485852837562561	0.49961686	No	
row_48	EIF4E2	4256	0.2250879853963852	0.4930839	No	
row_49	EEFSEC	4327	0.21217630803585052	0.4880761	No	
row_50	EEF2	4596	0.14475612342357635	0.46356148	No	
row_51	EIF1AD	4797	0.10569916665554047	0.44524837	No	
row_52	EEF2K	5113	0.049050651490688324	0.41546556	No	
row_53	MTRF1L	5224	0.03154610097408295	0.40518057	No	
row_54	EIF4E3	5318	0.01587275229394436	0.3963987	No	
row_55	EIF1B	5555	-0.02337203547358513	0.3739782	No	
row_56	EIF2B2	5608	-0.03361482545733452	0.36926585	No	
row_57	EIF3F	5734	-0.05281037464737892	0.35771412	No	
row_58	EIF3K	5810	-0.06567170470952988	0.35105503	No	
row_59	EIF3H	5982	-0.09359408915042877	0.33542308	No	
row_60	EIF4G3	5994	-0.09581960737705231	0.3351361	No	
row_61	CPEB4	6005	-0.09792041033506393	0.3349617	No	
row_62	HBS1L	6157	-0.1250276416540146	0.32149717	No	
row_63	EIF5A2	6714	-0.2520831823348999	0.27025256	No	
row_64	GTPBP1	7042	-0.3393389582633972	0.24164309	No	
row_65	MTIF3	7457	-0.47387993335723877	0.20577611	No	
row_66	CPEB2	8929	-1.2569295167922974	0.07492016	No	
row_67	GTPBP2	9007	-1.3238801956176758	0.07813766	No	
row_68	ABTB1	10031	-2.9858779907226562	0.0040327385	No	
row_69	CPEB1	10400	-5.194387912750244	0.010345775	No	
