NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1S	1222	1.7069932222366333	-0.06972069	No	
row_1	KCNQ5	2906	0.6254032850265503	-0.21304576	No	
row_2	KCNK6	2930	0.6185716986656189	-0.19828197	No	
row_3	CACNA1D	4145	0.2530631422996521	-0.30709615	No	
row_4	ITGAV	5396	1.1951800115639344E-4	-0.4262767	No	
row_5	KCNIP2	6687	-0.24700841307640076	-0.54250324	No	
row_6	KCNK5	7167	-0.37573927640914917	-0.5778744	No	
row_7	TPCN2	8513	-0.9756613969802856	-0.67937064	Yes	
row_8	KCNA3	8692	-1.0831354856491089	-0.66665065	Yes	
row_9	KCNB1	8931	-1.2575767040252686	-0.6548696	Yes	
row_10	CACNA1A	9238	-1.5598914623260498	-0.6412848	Yes	
row_11	KCNAB2	9354	-1.67844557762146	-0.6062389	Yes	
row_12	KCNH2	9399	-1.7291674613952637	-0.56303287	Yes	
row_13	CDK5	9458	-1.8109147548675537	-0.51892084	Yes	
row_14	PTK2B	9731	-2.281625986099243	-0.48230952	Yes	
row_15	TPCN1	9900	-2.6155545711517334	-0.4266282	Yes	
row_16	CACNB1	10056	-3.083112955093384	-0.35689032	Yes	
row_17	KCNA2	10141	-3.4292373657226562	-0.27089456	Yes	
row_18	RYR1	10147	-3.452294111251831	-0.17673431	Yes	
row_19	CACNA2D4	10164	-3.4902846813201904	-0.082581475	Yes	
row_20	HVCN1	10282	-4.205541610717773	0.021548495	Yes	
