NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOD1	2580	0.7644487023353577	-0.21526694	No	
row_1	STUB1	2966	0.6066774725914001	-0.22758898	No	
row_2	SPAST	3308	0.4888027608394623	-0.24045397	No	
row_3	ERLIN2	3910	0.31400567293167114	-0.28513548	No	
row_4	GFM2	4018	0.28348204493522644	-0.28394252	No	
row_5	ANO10	4652	0.13517993688583374	-0.3388634	No	
row_6	SLC39A14	5305	0.01823180913925171	-0.4002968	No	
row_7	PIGT	5865	-0.07317356020212173	-0.45065448	No	
row_8	HTT	6014	-0.0988054871559143	-0.46079415	No	
row_9	GBA2	6219	-0.1381181925535202	-0.47469303	No	
row_10	RAB18	6675	-0.24339038133621216	-0.5082924	No	
row_11	SPG11	6937	-0.3109368681907654	-0.5206793	No	
row_12	SLC52A3	7632	-0.545027494430542	-0.5649417	No	
row_13	ZFYVE27	8347	-0.8655381798744202	-0.59822756	No	
row_14	FGF13	9416	-1.7482857704162598	-0.6297825	Yes	
row_15	ABCD1	9534	-1.9262592792510986	-0.5635084	Yes	
row_16	CAPN1	9542	-1.9468644857406616	-0.48591784	Yes	
row_17	SAMD9L	10062	-3.100088596343994	-0.41078892	Yes	
row_18	ATP6AP2	10099	-3.251559019088745	-0.28351873	Yes	
row_19	PSAP	10113	-3.3156168460845947	-0.1514806	Yes	
row_20	SYNE1	10354	-4.703028202056885	0.014683389	Yes	
