NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.04093338	Yes	
row_1	C1QBP	32	5.812370300292969	0.06837947	Yes	
row_2	MRPL12	40	5.616093158721924	0.09702101	Yes	
row_3	PUS1	44	5.471492767333984	0.12529382	Yes	
row_4	COQ4	108	4.538275718688965	0.14290352	Yes	
row_5	ATAD3A	144	4.294410705566406	0.1619429	Yes	
row_6	TUFM	208	3.905212640762329	0.17624788	Yes	
row_7	TXN2	232	3.7528345584869385	0.19361842	Yes	
row_8	SLC25A3	268	3.5408856868743896	0.20872423	Yes	
row_9	TMEM70	347	3.247598171234131	0.21814844	Yes	
row_10	TRMT5	377	3.1571292877197266	0.2318301	Yes	
row_11	NDUFAF6	406	3.0600149631500244	0.24510135	Yes	
row_12	TIMM50	496	2.8457443714141846	0.25136602	Yes	
row_13	PITRM1	501	2.831097364425659	0.26575887	Yes	
row_14	MRPS28	553	2.7475831508636475	0.27517906	Yes	
row_15	MRPS34	570	2.6900136470794678	0.2876771	Yes	
row_16	CYC1	575	2.6759016513824463	0.30125982	Yes	
row_17	ACAD9	595	2.6249969005584717	0.3131289	Yes	
row_18	NDUFA12	603	2.6164188385009766	0.3261115	Yes	
row_19	DNAJC19	687	2.442861318588257	0.33085215	Yes	
row_20	NDUFS7	700	2.4227633476257324	0.3423412	Yes	
row_21	NDUFA9	764	2.3019936084747314	0.34827703	Yes	
row_22	MIPEP	821	2.2328717708587646	0.3545277	Yes	
row_23	MRPS22	875	2.165330648422241	0.3607154	Yes	
row_24	TRMT10C	891	2.133017063140869	0.3704023	Yes	
row_25	UQCRB	948	2.066093683242798	0.37578237	Yes	
row_26	LRPPRC	949	2.0660817623138428	0.38656777	Yes	
row_27	PNPT1	951	2.065568685531616	0.39725396	Yes	
row_28	TARS2	1004	1.9813899993896484	0.40257794	Yes	
row_29	NDUFAF5	1016	1.9645626544952393	0.4117716	Yes	
row_30	TSFM	1046	1.9171292781829834	0.4189802	Yes	
row_31	FASTKD2	1077	1.8634841442108154	0.42581224	Yes	
row_32	RNASEH1	1115	1.8206018209457397	0.43174475	Yes	
row_33	DLD	1166	1.7624629735946655	0.43611893	Yes	
row_34	HTRA2	1189	1.7420440912246704	0.44308925	Yes	
row_35	ACAT1	1223	1.7065032720565796	0.44881222	Yes	
row_36	RARS2	1255	1.6725660562515259	0.4545511	Yes	
row_37	NDUFA10	1258	1.6689893007278442	0.46307054	Yes	
row_38	EARS2	1287	1.6401481628417969	0.46892977	Yes	
row_39	NDUFB8	1340	1.5902373790740967	0.47221184	Yes	
row_40	LIPT1	1350	1.5858666896820068	0.47962168	Yes	
row_41	SLC25A42	1377	1.5599251985549927	0.48525518	Yes	
row_42	BCS1L	1382	1.55715811252594	0.4929978	Yes	
row_43	NDUFS3	1387	1.5548985004425049	0.5007286	Yes	
row_44	NDUFAF2	1426	1.5161062479019165	0.504975	Yes	
row_45	ISCA1	1439	1.5044769048690796	0.5116705	Yes	
row_46	MRPL3	1447	1.4973969459533691	0.5188115	Yes	
row_47	CARS2	1456	1.4913911819458008	0.52582467	Yes	
row_48	LONP1	1507	1.4508978128433228	0.52857244	Yes	
row_49	NDUFV2	1602	1.3719242811203003	0.5266608	Yes	
row_50	PNPO	1657	1.3304612636566162	0.52839375	Yes	
row_51	SDHA	1660	1.3275562524795532	0.53513086	Yes	
row_52	NDUFC2	1688	1.3103126287460327	0.53936476	Yes	
row_53	MRPS14	1689	1.3089572191238403	0.54619783	Yes	
row_54	PMPCB	1711	1.2909756898880005	0.55091	Yes	
row_55	GFM1	1755	1.2618484497070312	0.5533465	Yes	
row_56	SUCLG1	1788	1.236041784286499	0.5567101	Yes	
row_57	PDHX	1791	1.2331703901290894	0.5629545	Yes	
row_58	GOT2	1815	1.210995078086853	0.56705606	Yes	
row_59	SDHB	1845	1.1883832216262817	0.57046044	Yes	
row_60	SERAC1	1862	1.176692247390747	0.57505864	Yes	
row_61	MDH2	1863	1.1763404607772827	0.5811994	Yes	
row_62	COX5A	1872	1.1703475713729858	0.58653665	Yes	
row_63	NARS2	1894	1.1570961475372314	0.59054995	Yes	
row_64	MPC1	2059	1.0363061428070068	0.58012956	No	
row_65	NDUFA4	2083	1.0191713571548462	0.5832298	No	
row_66	UQCRC2	2117	0.9982542395591736	0.58525556	No	
row_67	ISCU	2160	0.9774832725524902	0.5863042	No	
row_68	NDUFAF1	2218	0.9463885426521301	0.5857426	No	
row_69	SLC25A4	2303	0.8923466205596924	0.58229274	No	
row_70	NDUFA8	2399	0.8538303971290588	0.57758003	No	
row_71	LDHA	2436	0.8367278575897217	0.57847303	No	
row_72	PDP1	2443	0.8353655338287354	0.58225465	No	
row_73	ATPAF2	2447	0.833671510219574	0.58631706	No	
row_74	SOD1	2580	0.7644487023353577	0.5775663	No	
row_75	COX10	2620	0.7521944046020508	0.57772845	No	
row_76	TMEM126B	2662	0.7335144877433777	0.5776	No	
row_77	PDHA1	2707	0.7125114798545837	0.5770724	No	
row_78	NDUFS8	2727	0.7031208276748657	0.57890886	No	
row_79	YARS2	2731	0.7008005380630493	0.5822776	No	
row_80	SFXN4	2746	0.694046676158905	0.5845493	No	
row_81	HSD17B10	2769	0.6855514645576477	0.5860045	No	
row_82	MTO1	2816	0.6636104583740234	0.5850285	No	
row_83	AIFM1	2822	0.6603174805641174	0.5879929	No	
row_84	COQ9	2909	0.6245212554931641	0.5829519	No	
row_85	UQCRQ	2948	0.6133402585983276	0.58248574	No	
row_86	MRPS16	2965	0.6068153977394104	0.584109	No	
row_87	COX20	2972	0.6045542359352112	0.5866858	No	
row_88	MTFMT	3057	0.5769469141960144	0.58158946	No	
row_89	NDUFV1	3200	0.5252190828323364	0.57062465	No	
row_90	NDUFS1	3267	0.502350926399231	0.56687635	No	
row_91	PDSS1	3332	0.48105865716934204	0.56321	No	
row_92	COX8A	3353	0.47291919589042664	0.56374824	No	
row_93	SURF1	3421	0.4551877975463867	0.5596572	No	
row_94	MRPL44	3488	0.433246374130249	0.5555482	No	
row_95	SYNJ1	3618	0.39204299449920654	0.545143	No	
row_96	PDSS2	3771	0.3512367308139801	0.53230476	No	
row_97	TRMU	3783	0.3462536931037903	0.5330505	No	
row_98	COX6B1	3786	0.3460179567337036	0.53466374	No	
row_99	LIPT2	3792	0.34387463331222534	0.53597623	No	
row_100	COQ2	3796	0.34315431118011475	0.53747797	No	
row_101	CLPB	3853	0.3297826945781708	0.5337941	No	
row_102	NDUFA2	3854	0.3293665945529938	0.53551346	No	
row_103	ACAT2	3921	0.312324583530426	0.5307732	No	
row_104	GFM2	4018	0.28348204493522644	0.52298665	No	
row_105	DARS2	4076	0.2695235311985016	0.5188917	No	
row_106	COX4I1	4118	0.25969168543815613	0.5162898	No	
row_107	FOXRED1	4234	0.2312730997800827	0.5063967	No	
row_108	LIAS	4340	0.20955383777618408	0.4973555	No	
row_109	NDUFB9	4395	0.19485169649124146	0.4931603	No	
row_110	TACO1	4468	0.17644478380680084	0.48713157	No	
row_111	AGK	4495	0.17007488012313843	0.48550975	No	
row_112	LYRM7	4567	0.14983302354812622	0.47943863	No	
row_113	SLC25A10	4662	0.13211439549922943	0.47105494	No	
row_114	NFS1	4848	0.09695128351449966	0.4537039	No	
row_115	OGDH	4887	0.09003797173500061	0.45050597	No	
row_116	NDUFA11	5004	0.06847769767045975	0.4396665	No	
row_117	NDUFA13	5027	0.06463421136140823	0.43788037	No	
row_118	AARS2	5075	0.056082870811223984	0.43363646	No	
row_119	DNM1L	5439	-0.0062967161647975445	0.3986307	No	
row_120	FARS2	5593	-0.030759569257497787	0.38402295	No	
row_121	SCO1	5621	-0.03527611494064331	0.38160092	No	
