NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE3A	1444	1.4987483024597168	-0.09788994	No	
row_1	SPEN	2362	0.8666379451751709	-0.16232398	No	
row_2	PRDM16	2556	0.7732462286949158	-0.16013123	No	
row_3	CEP78	3711	0.3668298125267029	-0.26051727	No	
row_4	CASZ1	4096	0.2638194262981415	-0.2901416	No	
row_5	LUZP1	4113	0.26084187626838684	-0.28471404	No	
row_6	HPS4	4703	0.12367437034845352	-0.33764556	No	
row_7	BLOC1S5	5144	0.044072624295949936	-0.3784752	No	
row_8	BLOC1S6	5386	0.003355523105710745	-0.4013929	No	
row_9	MYO7A	5397	-1.539719960419461E-4	-0.40234345	No	
row_10	EPG5	5459	-0.009300347417593002	-0.40791884	No	
row_11	DTNBP1	5508	-0.01624082587659359	-0.41206816	No	
row_12	AMACR	5710	-0.048158079385757446	-0.42997262	No	
row_13	UBE4B	7014	-0.33318963646888733	-0.54547995	No	
row_14	ESPN	7485	-0.48559004068374634	-0.5774011	No	
row_15	HPS6	7495	-0.48964717984199524	-0.5652045	No	
row_16	BLOC1S3	7661	-0.5544203519821167	-0.56617343	No	
row_17	HERC2	8270	-0.8274925351142883	-0.60215247	Yes	
row_18	ARSG	8402	-0.9139389395713806	-0.5902895	Yes	
row_19	MYO5A	8658	-1.0633877515792847	-0.58627933	Yes	
row_20	ATP10A	8776	-1.1304737329483032	-0.5673062	Yes	
row_21	HPS5	8833	-1.1818252801895142	-0.54114056	Yes	
row_22	SKI	9042	-1.3445309400558472	-0.52514726	Yes	
row_23	XYLT2	9299	-1.6177562475204468	-0.50645113	Yes	
row_24	LYST	9329	-1.6490334272384644	-0.46525037	Yes	
row_25	KCNAB2	9354	-1.67844557762146	-0.42278805	Yes	
row_26	PRKCZ	9376	-1.7041059732437134	-0.37935516	Yes	
row_27	RERE	9562	-1.980639934539795	-0.34420517	Yes	
row_28	KANSL1	9689	-2.1966640949249268	-0.29766273	Yes	
row_29	AP3B1	9791	-2.407599687576294	-0.24310936	Yes	
row_30	RAB27A	9799	-2.4284584522247314	-0.17902605	Yes	
row_31	HPS1	10021	-2.950589418411255	-0.12145044	Yes	
row_32	AP3D1	10038	-3.020979404449463	-0.04242757	Yes	
row_33	CDH23	10104	-3.2704079151153564	0.03856818	Yes	
