NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL5	82	4.819319725036621	0.11137762	Yes	
row_1	TSR2	294	3.4462897777557373	0.17648667	Yes	
row_2	CHSY1	397	3.0825767517089844	0.24299939	Yes	
row_3	RPL15	557	2.7212674617767334	0.29513705	Yes	
row_4	RPL35A	800	2.258913993835449	0.32791975	Yes	
row_5	RPL27	882	2.152318239212036	0.37342703	Yes	
row_6	RPL11	939	2.074333667755127	0.4193907	Yes	
row_7	DVL1	1121	1.813934087753296	0.4469873	Yes	
row_8	RPS7	1153	1.7798781394958496	0.48805317	Yes	
row_9	RPL18	1245	1.681915044784546	0.52097136	Yes	
row_10	RPS26	1339	1.5911322832107544	0.5514533	Yes	
row_11	RPS10	1344	1.589475393295288	0.59038585	Yes	
row_12	RPL35	1677	1.3149930238723755	0.59123456	Yes	
row_13	RPS17	1703	1.2992138862609863	0.62098414	Yes	
row_14	RPL31	1785	1.2412376403808594	0.6439567	Yes	
row_15	RPS19	1859	1.1772502660751343	0.66610986	Yes	
row_16	RPS24	2008	1.0733542442321777	0.6785375	Yes	
row_17	RPS20	2022	1.0602314472198486	0.70352095	Yes	
row_18	RPS28	2753	0.6904450058937073	0.65094864	No	
row_19	INTU	2879	0.6362245082855225	0.6547587	No	
row_20	RPS15A	3029	0.5872795581817627	0.6550683	No	
row_21	GATA1	3239	0.513775110244751	0.6478352	No	
row_22	NUP107	3296	0.49228328466415405	0.65466833	No	
row_23	RPS27	3409	0.458025187253952	0.65531117	No	
row_24	PPP2R3C	3652	0.3822225034236908	0.64167565	No	
row_25	RPS29	3927	0.31025052070617676	0.62320685	No	
row_26	CANT1	5023	0.06563130766153336	0.52035546	No	
row_27	FANCD2	6112	-0.11631801724433899	0.41942558	No	
