NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	374	0.70176804	2.9377923	0.0	0.0	0.0	2043	tags=63%, list=19%, signal=76%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	270	0.7223997	2.913224	0.0	0.0	0.0	2089	tags=69%, list=20%, signal=84%	
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS	Details ...	229	0.7004498	2.8049371	0.0	0.0	0.0	2029	tags=64%, list=19%, signal=77%	
GOBP_NCRNA_PROCESSING	GOBP_NCRNA_PROCESSING	Details ...	333	0.6725296	2.7806582	0.0	0.0	0.0	2147	tags=58%, list=20%, signal=71%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	Details ...	162	0.7123894	2.7559426	0.0	0.0	0.0	2153	tags=72%, list=20%, signal=89%	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	149	0.72190547	2.7350042	0.0	0.0	0.0	2051	tags=71%, list=20%, signal=87%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	187	0.69558764	2.7055824	0.0	0.0	0.0	2207	tags=69%, list=21%, signal=86%	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	Details ...	63	0.8056376	2.68587	0.0	0.0	0.0	1251	tags=73%, list=12%, signal=82%	
GOBP_NCRNA_METABOLIC_PROCESS	GOBP_NCRNA_METABOLIC_PROCESS	Details ...	422	0.6357593	2.681973	0.0	0.0	0.0	2147	tags=52%, list=20%, signal=63%	
GOCC_PRERIBOSOME	GOCC_PRERIBOSOME	Details ...	68	0.7784329	2.635476	0.0	0.0	0.0	1588	tags=74%, list=15%, signal=86%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	103	0.7221978	2.5891743	0.0	0.0	0.0	2207	tags=72%, list=21%, signal=90%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	130	0.6948519	2.5889127	0.0	0.0	0.0	2220	tags=72%, list=21%, signal=90%	
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	Details ...	224	0.65214473	2.5849226	0.0	0.0	0.0	2359	tags=58%, list=22%, signal=73%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	Details ...	158	0.6711953	2.5671473	0.0	0.0	0.0	1918	tags=56%, list=18%, signal=68%	
GOCC_ORGANELLAR_RIBOSOME	GOCC_ORGANELLAR_RIBOSOME	Details ...	80	0.731196	2.5041082	0.0	0.0	0.0	2122	tags=69%, list=20%, signal=85%	
GOBP_RIBOSOME_ASSEMBLY	GOBP_RIBOSOME_ASSEMBLY	Details ...	54	0.7673462	2.4951742	0.0	0.0	0.0	1237	tags=63%, list=12%, signal=71%	
GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	Details ...	87	0.68889314	2.428791	0.0	0.0	0.0	2207	tags=75%, list=21%, signal=94%	
GOMF_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	GOMF_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	Details ...	84	0.6818678	2.3872926	0.0	0.0	0.0	1760	tags=55%, list=17%, signal=65%	
GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY	GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY	Details ...	45	0.76468503	2.3866098	0.0	0.0	0.0	2040	tags=69%, list=19%, signal=85%	
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	Details ...	95	0.65932906	2.3653343	0.0	0.0	0.0	1822	tags=46%, list=17%, signal=56%	
GOBP_TRNA_METABOLIC_PROCESS	GOBP_TRNA_METABOLIC_PROCESS	Details ...	149	0.6196721	2.3552413	0.0	0.0	0.0	2366	tags=50%, list=23%, signal=63%	
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	Details ...	53	0.7331846	2.3452463	0.0	0.0	0.0	2122	tags=68%, list=20%, signal=85%	
GOCC_MITOCHONDRIAL_MATRIX	GOCC_MITOCHONDRIAL_MATRIX	Details ...	381	0.55868965	2.3399663	0.0	0.0	0.0	2051	tags=43%, list=20%, signal=51%	
GOMF_RRNA_BINDING	GOMF_RRNA_BINDING	Details ...	58	0.7032668	2.3390644	0.0	0.0	0.0	2153	tags=66%, list=20%, signal=82%	
GOBP_TRANSLATIONAL_INITIATION	GOBP_TRANSLATIONAL_INITIATION	Details ...	102	0.646857	2.338943	0.0	0.0	0.0	2208	tags=49%, list=21%, signal=61%	
GOMF_UNFOLDED_PROTEIN_BINDING	GOMF_UNFOLDED_PROTEIN_BINDING	Details ...	88	0.6575252	2.3361547	0.0	0.0	0.0	1314	tags=44%, list=13%, signal=50%	
GOBP_TRNA_PROCESSING	GOBP_TRNA_PROCESSING	Details ...	108	0.6378625	2.3226783	0.0	0.0	0.0	1766	tags=43%, list=17%, signal=51%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	Details ...	67	0.7034691	2.3117878	0.0	0.0	0.0	2029	tags=67%, list=19%, signal=83%	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	50	0.7178355	2.3039865	0.0	0.0	0.0	2472	tags=82%, list=24%, signal=107%	
GOBP_MATURATION_OF_LSU_RRNA	GOBP_MATURATION_OF_LSU_RRNA	Details ...	27	0.8202121	2.301307	0.0	0.0	0.0	1251	tags=81%, list=12%, signal=92%	
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	Details ...	70	0.6756767	2.293009	0.0	0.0	0.0	1760	tags=54%, list=17%, signal=65%	
GOCC_PROTEASOME_COMPLEX	GOCC_PROTEASOME_COMPLEX	Details ...	54	0.7086476	2.2917101	0.0	0.0	0.0	2185	tags=63%, list=21%, signal=79%	
GOCC_SMALL_SUBUNIT_PROCESSOME	GOCC_SMALL_SUBUNIT_PROCESSOME	Details ...	32	0.7922838	2.2891843	0.0	0.0	0.0	1588	tags=81%, list=15%, signal=95%	
GOCC_CHAPERONE_COMPLEX	GOCC_CHAPERONE_COMPLEX	Details ...	29	0.7998306	2.2773786	0.0	0.0	0.0	1144	tags=69%, list=11%, signal=77%	
GOCC_SM_LIKE_PROTEIN_FAMILY_COMPLEX	GOCC_SM_LIKE_PROTEIN_FAMILY_COMPLEX	Details ...	74	0.6616212	2.2700863	0.0	0.0	0.0	1885	tags=58%, list=18%, signal=70%	
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	62	0.6883646	2.2647364	0.0	0.0	0.0	2023	tags=71%, list=19%, signal=87%	
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	Details ...	35	0.7679053	2.2610583	0.0	0.0	0.0	1885	tags=69%, list=18%, signal=83%	
GOBP_PROTEIN_FOLDING	GOBP_PROTEIN_FOLDING	Details ...	155	0.5853141	2.2601557	0.0	0.0	0.0	2012	tags=46%, list=19%, signal=57%	
HP_INCREASED_SERUM_LACTATE	HP_INCREASED_SERUM_LACTATE	Details ...	149	0.59054995	2.2596173	0.0	0.0	0.0	1894	tags=43%, list=18%, signal=52%	
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	Details ...	58	0.6905357	2.2569501	0.0	0.0	0.0	1434	tags=43%, list=14%, signal=50%	
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	104	0.6239948	2.2531147	0.0	0.0	0.0	2504	tags=55%, list=24%, signal=71%	
GOBP_TRNA_MODIFICATION	GOBP_TRNA_MODIFICATION	Details ...	77	0.6482634	2.2522366	0.0	0.0	0.0	1170	tags=34%, list=11%, signal=38%	
