© 2000-2022 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
Immunoglobulin	 	complex	 	-0.070	 	5.49E-27	2.39E-23	4930417O13Rik,BCL2L11,BCL3,BCL6,CD74,CD83,CD86,CISH,CMPK2,CORO2A,CXCR3,CXCR5,EBI3,ENO3,FASLG,Gm3383 (includes others),HLA-A,HMOX1,ICOS,IFIT1,IFIT1B,IFIT3,IFNG,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,LTA,Ly6a (includes others),Mturn,Mx1,MYO1E,NRP1,OAS1,OAS2,PDLIM4,PENK,PHF11,PLAC8,RGS16,RORC,RSAD2,RUNX2,S1PR1,SATB1,SELL,SERPINB1,SLC30A2,SOCS3,TBX21,TIGIT,USP18,VCAM1	119 (20)
Interferon alpha	 	group	 	-1.899	 	3.99E-22	7.60E-19	AQP3,BCL3,BCL6,CD83,CD86,CISH,CXCR3,DDX58,FASLG,GBP5,GNA15,HLA-A,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL1R1,IL21,IL2RA,IRF7,IRF8,Mx1,NKG7,OAS1,OAS2,Oasl2,PHF11,RSAD2,RTP4,SERPINB1,SLFN5,SOCS3,TBX21,TRIB2,UNC93B1,USP18,VCAM1	98 (14)
lipopolysaccharide	 	chemical drug	 	-1.042	 	6.93E-22	7.60E-19	AHR,Apol11b (includes others),AQP3,ARMCX6,BCL2L11,BCL3,BCL6,CAPN2,CD22,CD300LF,CD53,CD74,CD83,CD86,CISH,CMPK2,CXCR3,CXCR5,D930028M14Rik,DDX58,DENND3,EBI3,F2RL1,FASLG,GBP5,GJB2,GMFG,GNA15,HES5,HLA-A,HLA-DOB,HMOX1,HOMER1,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,JUN,KIF5C,KIT,LTA,Ly6a (includes others),Mx1,NCF1,NRP1,NTN1,OAS1,OAS2,Oasl2,PENK,PHACTR2,PHF11,PLAC8,POU2AF1,RGS16,RSAD2,RTP4,RUNX2,RXRA,S1PR1,S1PR3,SATB1,SELL,SERPINB1,SERPINC1,SFTPC,Sik1,SOCS3,SYP,TBX21,TCF4,TIMP2,TRIB3,USP18,VCAM1	121 (18)
dexamethasone	 	chemical drug	 	-0.827	 	6.99E-22	7.60E-19	ADAM12,ARHGAP24,ATP1A3,B3GNT5,BCL2L11,BCL3,BCL6,BHLHE40,CA2,CD22,CD74,CD83,CD86,CISH,CMPK2,CORO2A,CTSW,CXCR3,CXCR5,CYP2S1,DDX58,F2RL1,FASLG,FBLN1,FRAT1,GABBR1,GBP5,GRAMD4,HIP1,HLA-A,HLA-DOB,HMOX1,HPGDS,IFIT1,IFIT1B,IFIT3,IFNG,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,JUN,KIT,KLRB1,LTA,Ly6a (includes others),MAN1C1,P4HA2,PENK,PER2,PHTF2,POU2AF1,RGS16,RSAD2,RUNX2,RXRA,S100A4,S1PR1,S1PR3,SELL,SERPINB1,SGK1,SLC14A1,SLC30A2,SLC43A1,SOCS3,SRM,STRA6,STX1A,TBX21,TCF4,TGFB3,TIGIT,TIMP2,TNFRSF25,USP18,VCAM1,VIPR1	134 (18)
IL4	-0.658	cytokine	 	1.325	 	8.76E-22	7.62E-19	AHR,APOLD1,ATP1A3,BCL3,BCL6,BHLHE40,CA2,CD22,CD300LF,CD74,CD83,CD86,CISH,CMPK2,CXCR3,CXCR5,EBI3,F2RL1,FASLG,FUT7,GBP5,GNA15,ICOS,IFIT1,IFIT1B,IFIT3,IFNG,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,JUN,KIT,KLK3,KLRB1,LTA,Ly6a (includes others),MATK,Mx1,Nedd4,NRP1,OAS2,POU2AF1,SELL,SFTPC,SOCS3,SORCS2,SRM,SYT11,TBX21,TGFB3,TIMP2,TSPAN5,USP18,VCAM1,VIPR1	114 (14)
IL2	0.344	cytokine	Activated	2.410	 	4.83E-21	3.50E-18	4930417O13Rik,AHR,BCL6,BHLHE40,CD74,CD83,CD86,CISH,CORO2A,CRMP1,CTSW,CXCR3,CXCR5,EMP1,FASLG,Gm3383 (includes others),ICOS,IFNG,IL18,IL1R1,IL1R2,IL2RA,JUN,KIT,KLRB1,L1CAM,LTA,Ly6a (includes others),MYO1E,NRP1,PDLIM4,PENK,PLAC8,RGS16,RORC,RREB1,RXRA,S100A4,SATB1,SELL,SOCS3,TBX21,TIGIT,TRIB2,TRIB3	115 (20)
IL21	-2.777	cytokine	 	-1.563	 	1.76E-20	1.10E-17	BCL2L11,BCL6,CD27,CD86,CMPK2,CXCR3,CXCR5,FASLG,GBP5,IFIT1,IFIT1B,IFIT3,IFNG,IL21,IL2RA,IRF7,KLRB1,OAS2,RORC,RSAD2,SELL,SGK1,SOCS3,TBX21,USP18	124 (19)
TNF	0.338	cytokine	 	0.397	 	4.21E-20	2.29E-17	AQP3,ARID5B,BCL2L11,BCL3,BCL6,BHLHE40,CA2,CD74,CD83,CD86,CISH,CXCR3,CXCR5,DDX58,EBI3,EMP1,F2RL1,FASLG,FUT7,GNA15,HID1,HLA-A,HMOX1,HPGDS,ICOS,IFIT1,IFIT1B,IFIT3,IFNG,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,JUN,KIT,KLK3,KLRB1,LTA,MAN1C1,Mx1,NCF1,NRP1,NTN1,OAS1,OAS2,PENK,PER2,PLA1A,POU2AF1,RGS16,RNASE4,RUNX2,RXRA,S1PR3,SELL,SERPINB1,SFTPC,SGK1,SLC14A1,SLC16A5,SOCS3,TBX21,TG,TGFB3,TIMP2,VCAM1,VIPR1,WNT10A,ZNF365	143 (22)
IL12 (complex)	 	complex	 	0.498	 	7.89E-20	3.81E-17	AHR,BCL3,CD86,CISH,CXCR3,EBI3,FASLG,FUT7,ICOS,IFIT1B,IFNG,IL18,IL21,IL2RA,IRF8,JUN,KIT,KLRB1,LTA,Ly6a (includes others),Mx1,PLAC8,SELL,SOCS3,TBX21,TNFRSF25	127 (20)
STAT1	0.185	transcription regulator	 	-1.241	 	1.72E-19	7.46E-17	BCL2L11,BCL6,CD86,CMPK2,CXCR3,FASLG,GBP5,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL18,IL1R1,IL1R2,IL21,IRF7,IRF8,JUN,Ly6a (includes others),Mx1,OAS1,OAS2,Oasl2,RORC,RSAD2,RTP4,RXRA,SELL,SLFN5,SOCS3,TBX21,USP18,VCAM1	112 (15)
IFNG	2.020	cytokine	 	-0.183	 	3.15E-19	1.25E-16	ACSS1,AHR,BCL2L11,BCL3,CD74,CD83,CD86,CISH,CMPK2,CXCR3,DDX58,EBI3,F2RL1,FANCF,FASLG,FBLN1,GBP5,GJB2,GPR146,HIP1,HLA-A,HLA-DOB,HMOX1,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL18,IL1R1,IL21,IL2RA,IRF7,IRF8,JUN,LTA,Ly6a (includes others),Mx1,MYO6,NDRG4,NTN1,OAS1,OAS2,Oasl2,PENK,PHACTR2,PHF11,RORC,RSAD2,RTP4,RUNX2,S1PR3,SELL,SLC14A1,SLFN5,SOCS3,TBX21,TG,TRIB2,USP18,VCAM1,VIPR1	105 (19)
STAT3	-0.191	transcription regulator	 	-1.132	 	1.30E-18	4.71E-16	AHR,BCL2L11,BCL3,BCL6,CD74,CD83,CD86,CMPK2,CXCR3,CXCR5,FASLG,GBP5,HES5,HLA-A,HMOX1,ICOS,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL1R1,IL21,IL2RA,IRF7,KLK3,LTA,Mx1,NRP1,OAS1,OAS2,RORC,RSAD2,S1PR1,SERPINB1,SGK1,SLFN5,SOCS3,TBX21,TCF4,USP18	119 (22)
IL1B	 	cytokine	 	-1.473	 	1.75E-18	5.87E-16	ADAM12,BCL3,BCL6,CD74,CD83,CD86,CISH,CMPK2,EBI3,F2RL1,FASLG,FUT7,GNA15,GRB7,HLA-A,HLA-DOB,HMOX1,HOMER1,HPGDS,IFIT1,IFIT1B,IFIT3,IFNG,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,JUN,KLRB1,LTA,NRP1,OAS2,PENK,RASA3,RGS16,RORC,RSAD2,RUNX2,RXRA,S100A6,SFTPC,SLC14A1,SOCS3,TBX21,TGFB3,TIMP2,USP18,VCAM1	124 (20)
TGFB1	0.166	growth factor	 	-0.742	 	3.83E-18	1.19E-15	ACSS1,ACVRL1,ADAM12,AHR,ARHGAP24,ARID5B,BCL2L11,BCL3,BCL6,BHLHE40,CD74,CD83,CD86,CRMP1,CXCR3,CXCR5,ENO3,F2RL1,FASLG,FUT7,GABBR1,GJB2,GPR146,HMOX1,IFIT3,IFNG,IL18,IL1R1,IL21,IL2RA,ITGA7,JUN,KIT,KLK3,KLRB1,L1CAM,LTA,Ly6a (includes others),Mx1,NCF1,NDRG4,NRP1,PDLIM4,PLA1A,PTPRK,RORC,RSAD2,RUNX2,RXRA,S100A4,S100A6,S1PR1,S1PR3,SERPINB1,SFTPC,SGK1,SLC26A11,SOCS3,SRM,SYP,TBX21,TG,TGFB3,TIMP2,TRIB3,VCAM1,VIPR1,WNT10A,ZNF365	135 (24)
NFATC2	-0.233	transcription regulator	 	-1.019	 	1.29E-17	3.74E-15	BCL2L11,CD83,CD86,CISH,CMPK2,CXCR5,EBI3,FASLG,ICOS,IFIT1B,IFIT3,IFNG,IL18,IL21,IL2RA,IRF7,JUN,PTPRK,RORC,RSAD2,S100A3,SOCS3,TBX21,TCF4	125 (22)
CREBBP	0.032	transcription regulator	 	-1.342	 	1.62E-17	4.39E-15	ADAM12,ARHGAP24,BCL6,CA2,CD53,CORO2B,CXCR3,DUSP22,FASLG,FUT7,IFIT1B,IFNG,IL17RE,IL2RA,JUN,KLHL4,KLK3,LTA,MAFG,NTN1,PDLIM4,PIPOX,RASA3,RSAD2,RTP4,RUNX2,SLC43A1,SOCS3,TESC,USP18,VCAM1	120 (19)
MAPK1	0.124	kinase	 	1.669	 	8.36E-17	2.14E-14	ADAM12,CAPN2,CISH,CTSW,DDX58,EMP1,ENO3,FAM20A,FASLG,GBP5,GRB7,HMOX1,HOMER1,IFIT1,IFIT3,IFNG,IL2RA,IRF7,JUN,NKG7,NRN1,NRP1,OAS1,OAS2,PHF11,PTPRK,RGS16,S1PR3,TBX21,USP18	115 (21)
