Dataset	sampleName	Condition	Treatment	countFile	FastqFile1	FastqFile2	LibraryName	Replicate	ShortName
Bea	D4B61	4	WTd4	D4B61.count	D4B61_R1_001.fastq	D4B61_R2_001.fastq	D4B61	1	D4B1
Bea	D4B62	4	WTd4	D4B62.count	D4B62_R1_001.fastq	D4B62_R2_001.fastq	D4B62	2	D4B2
Bea	D4B63	4	WTd4	D4B63.count	D4B63_R1_001.fastq	D4B63_R2_001.fastq	D4B63	3	D4B3
Bea	D4KO1	4	KOd4	D4KO1.count	D4KO1_R1_001.fastq	D4KO1_R2_001.fastq	D4KO1	1	D4KO1
Bea	D4KO2	4	KOd4	D4KO2.count	D4KO2_R1_001.fastq	D4KO2_R2_001.fastq	D4KO2	2	D4KO2
Bea	D4KO3	4	KOd4	D4KO3.count	D4KO3_R1_001.fastq	D4KO3_R2_001.fastq	D4KO3	3	D4KO3
Bea	D6B61	6	WTd6	D6B61.count	D6B61_R1_001.fastq	D6B61_R2_001.fastq	D6B61	1	D6B1
Bea	D6B62	6	WTd6	D6B62.count	D6B62_R1_001.fastq	D6B62_R2_001.fastq	D6B62	2	D6B2
Bea	D6B63	6	WTd6	D6B63.count	D6B63_R1_001.fastq	D6B63_R2_001.fastq	D6B63	3	D6B3
Bea	D6KO1	6	KOd6	D6KO1.count	D6KO1_R1_001.fastq	D6KO1_R2_001.fastq	D6KO1	1	D6KO1
Bea	D6KO2	6	KOd6	D6KO2.count	D6KO2_R1_001.fastq	D6KO2_R2_001.fastq	D6KO2	2	D6KO2
Bea	D6KO3	6	KOd6	D6KO3.count	D6KO3_R1_001.fastq	D6KO3_R2_001.fastq	D6KO3	3	D6KO3
