user_id,care_gap_closure_rate,avg_alert_response_min,patient_satisfaction_score,documentation_accuracy_pct,30day_readmission_rate
U0001,0.666,11,4.5,84.7,0.116
U0002,0.724,13,4.0,91.2,0.1
U0003,0.503,16,3.8,74.5,0.154
U0004,0.771,22,4.1,87.0,0.094
U0005,0.577,24,4.9,85.9,0.12
U0006,0.771,13,4.4,87.9,0.085
U0007,0.641,12,4.0,85.6,0.099
U0008,0.86,16,3.8,83.7,0.08
U0009,0.715,11,4.0,87.2,0.095
U0010,0.847,11,3.9,92.2,0.06
U0011,0.598,21,3.0,81.1,0.13
U0012,0.69,20,4.3,85.7,0.146
U0013,0.537,19,3.5,78.8,0.145
U0014,0.752,22,4.5,95.8,0.108
U0015,0.879,18,4.9,90.6,0.086
U0016,0.73,16,4.1,87.8,0.105
U0017,0.778,13,4.5,95.5,0.083
U0018,0.912,8,4.5,91.5,0.047
U0019,0.851,7,4.3,98.1,0.072
U0020,0.569,65,3.4,82.1,0.134
U0021,0.716,17,3.6,93.0,0.117
U0022,0.734,19,3.8,87.9,0.088
U0023,0.769,11,4.1,86.7,0.141
U0024,0.697,12,4.2,96.6,0.112
U0025,1.0,4,4.8,89.9,0.061
U0026,0.581,47,3.4,73.5,0.172
U0027,0.561,17,4.6,86.3,0.124
U0028,0.922,13,3.8,90.5,0.112
U0029,0.68,15,3.7,89.9,0.12
U0030,0.812,8,3.9,87.6,0.081
U0031,0.616,18,4.4,84.4,0.116
U0032,0.8,8,4.7,87.8,0.092
U0033,0.791,7,4.6,94.5,0.088
U0034,0.731,21,4.6,88.4,0.111
U0035,0.712,12,4.2,86.2,0.082
U0036,0.771,12,4.1,95.0,0.074
U0037,0.708,32,3.9,80.9,0.075
U0038,0.618,27,4.2,85.8,0.122
U0039,0.728,19,3.5,71.0,0.167
U0040,0.812,14,5.0,91.8,0.108
U0041,0.71,15,4.6,96.3,0.077
U0042,0.832,15,4.2,95.5,0.081
U0043,0.609,19,3.9,82.8,0.099
U0044,0.962,10,4.5,95.4,0.079
U0045,0.979,7,4.7,93.4,0.074
U0046,0.783,5,4.1,75.1,0.069
U0047,0.718,27,4.4,92.0,0.099
U0048,0.663,4,4.3,90.2,0.088
U0049,0.902,12,3.7,90.2,0.096
U0050,0.821,8,4.1,88.8,0.09
U0051,0.726,20,3.6,100,0.103
U0052,0.536,24,3.4,77.3,0.125
U0053,0.703,16,4.4,85.7,0.065
U0054,0.837,12,4.6,96.8,0.053
U0055,0.746,24,4.2,84.1,0.14
U0056,0.736,7,3.8,87.5,0.093
U0057,0.857,18,3.6,84.3,0.118
U0058,0.865,27,3.8,84.9,0.117
U0059,0.516,39,4.1,83.1,0.166
U0060,0.651,22,4.1,89.6,0.107
U0061,0.777,26,3.9,86.4,0.088
U0062,0.619,11,4.3,81.8,0.128
U0063,0.774,10,3.9,87.5,0.134
U0064,0.697,11,3.8,84.8,0.102
U0065,0.858,9,4.8,94.6,0.101
U0066,0.859,4,4.4,91.8,0.084
U0067,0.625,18,3.3,86.7,0.139
U0068,0.695,17,4.4,90.5,0.119
U0069,0.753,19,4.7,94.4,0.071
U0070,0.874,8,4.6,88.5,0.08
U0071,0.729,27,3.8,92.1,0.131
U0072,0.652,64,3.9,78.0,0.096
U0073,0.734,16,3.6,93.6,0.133
U0074,0.77,5,4.4,95.2,0.064
U0075,0.819,8,4.2,85.0,0.13
U0076,0.872,4,4.4,91.9,0.079
U0077,0.72,13,4.1,84.7,0.091
U0078,0.618,7,4.3,84.9,0.085
U0079,0.936,15,4.1,94.3,0.066
U0080,0.796,7,4.2,88.2,0.1
U0081,0.765,9,4.4,87.2,0.091
U0082,0.758,18,4.1,91.0,0.068
U0083,0.66,15,4.3,89.9,0.089
U0084,0.66,8,4.2,88.2,0.112
U0085,0.899,11,4.6,93.1,0.08
U0086,0.919,6,4.4,93.2,0.068
U0087,0.888,9,4.2,96.0,0.076
U0088,0.674,23,4.4,89.8,0.102
U0089,0.795,11,4.4,89.0,0.141
U0090,0.729,24,4.3,84.3,0.136
U0091,0.966,11,4.8,96.2,0.067
U0092,0.703,12,4.5,96.6,0.105
U0093,0.752,14,4.2,86.3,0.125
U0094,0.89,7,4.7,91.8,0.067
U0095,0.674,17,4.1,73.6,0.136
U0096,0.687,13,4.2,87.7,0.112
U0097,0.78,27,4.1,90.1,0.126
U0098,0.605,22,3.9,88.3,0.12
U0099,0.645,8,4.3,92.3,0.097
U0100,0.722,4,4.5,88.2,0.066
U0101,0.655,22,4.0,92.5,0.089
U0102,0.809,11,3.9,100,0.098
U0103,0.898,11,4.3,88.2,0.127
U0104,0.7,37,3.9,85.2,0.096
