user_id,department,role,join_date,platform_pref,monthly_sessions_avg,engagement_tier,churned,churn_date
U0001,Primary Care,Physician,2023-01-04,Web,18,Active,Yes,
U0002,Emergency,Physician,2023-03-17,Web,15,Active,Yes,
U0003,Emergency,Care Coordinator,2023-01-04,iOS,6,Casual,No,
U0004,Pediatrics,Physician,2023-01-21,iOS,16,Active,No,
U0005,Pediatrics,Physician,2023-01-12,Web,15,Active,No,2023-10-23
U0006,Emergency,Physician,2023-02-18,Web,21,Power User,No,
U0007,Pediatrics,Care Coordinator,2023-01-25,Web,12,Active,No,2023-06-29
U0008,Oncology,Physician Assistant,2023-02-05,Web,14,Active,No,
U0009,Pediatrics,Nurse Practitioner,2023-03-27,iOS,15,Active,No,
U0010,Primary Care,Nurse Practitioner,2023-01-21,Web,25,Power User,No,
U0011,Primary Care,Care Coordinator,2023-01-29,iOS,9,Casual,No,2023-08-10
U0012,Neurology,Registered Nurse,2023-01-09,Web,15,Active,No,
U0013,Pediatrics,Nurse Practitioner,2023-03-25,iOS,8,Casual,No,
U0014,Primary Care,Care Coordinator,2023-03-10,Web,12,Active,No,
U0015,Neurology,Registered Nurse,2023-01-29,Web,24,Power User,No,
U0016,Cardiology,Nurse Practitioner,2023-03-29,Web,16,Active,Yes,
U0017,Neurology,Care Coordinator,2023-02-02,Web,20,Power User,No,
U0018,Emergency,Registered Nurse,2023-03-24,Web,21,Power User,No,
U0019,Oncology,Registered Nurse,2023-03-06,Web,22,Power User,No,
U0020,Emergency,Care Coordinator,2023-01-26,Web,7,Casual,No,
U0021,Emergency,Physician,2023-03-18,Android,18,Active,No,
U0022,Pediatrics,Nurse Practitioner,2023-01-08,Web,17,Active,No,2023-11-05
U0023,Oncology,Care Coordinator,2023-01-17,iOS,15,Active,No,
U0024,Neurology,Nurse Practitioner,2023-03-11,iOS,19,Active,No,
U0025,Neurology,Registered Nurse,2023-02-26,Web,26,Power User,Yes,2023-12-10
U0026,Cardiology,Care Coordinator,2023-01-29,Web,9,Casual,No,2023-04-05
U0027,Oncology,Registered Nurse,2023-01-10,Web,19,Active,No,
U0028,Emergency,Care Coordinator,2023-03-02,Web,12,Active,No,
U0029,Oncology,Physician,2023-03-26,Web,14,Active,No,
U0030,Primary Care,Physician,2023-01-08,Web,20,Power User,No,
U0031,Cardiology,Nurse Practitioner,2023-01-25,Web,14,Active,No,
U0032,Oncology,Physician Assistant,2023-03-12,Web,15,Active,No,
U0033,Oncology,Physician,2023-01-31,Web,20,Power User,No,2023-09-12
U0034,Oncology,Physician Assistant,2023-02-03,Android,19,Active,No,
U0035,Primary Care,Care Coordinator,2023-03-26,Web,12,Active,No,
U0036,Emergency,Physician,2023-02-10,Web,16,Active,No,
U0037,Emergency,Nurse Practitioner,2023-01-08,Web,18,Active,No,
U0038,Cardiology,Physician Assistant,2023-01-16,Android,15,Active,No,
U0039,Oncology,Care Coordinator,2023-01-11,iOS,7,Casual,No,
U0040,Primary Care,Registered Nurse,2023-01-31,Web,25,Power User,No,
U0041,Neurology,Registered Nurse,2023-01-10,iOS,28,Power User,Yes,
U0042,Emergency,Registered Nurse,2023-01-17,Android,22,Power User,No,
U0043,Pediatrics,Registered Nurse,2023-01-21,Web,17,Active,No,
U0044,Emergency,Physician,2023-03-27,Android,20,Power User,No,
U0045,Cardiology,Registered Nurse,2023-01-15,Web,27,Power User,No,
U0046,Pediatrics,Nurse Practitioner,2023-03-29,iOS,12,Active,No,
U0047,Oncology,Physician,2023-03-23,Web,15,Active,No,
U0048,Pediatrics,Nurse Practitioner,2023-02-26,iOS,17,Active,No,2023-04-09
U0049,Primary Care,Nurse Practitioner,2023-03-11,iOS,20,Power User,No,2023-09-04
U0050,Oncology,Registered Nurse,2023-01-27,iOS,23,Power User,No,
U0051,Emergency,Physician Assistant,2023-03-21,Web,15,Active,No,
U0052,Cardiology,Physician Assistant,2023-01-04,Web,6,Casual,No,
U0053,Neurology,Nurse Practitioner,2023-02-04,Web,19,Active,Yes,
U0054,Cardiology,Physician Assistant,2023-02-14,Web,20,Power User,No,
U0055,Oncology,Nurse Practitioner,2023-02-21,Android,12,Active,No,
U0056,Neurology,Care Coordinator,2023-02-12,Android,19,Active,Yes,
U0057,Cardiology,Care Coordinator,2023-02-03,Web,17,Active,No,
U0058,Emergency,Physician,2023-02-19,Android,19,Active,No,2023-10-11
U0059,Oncology,Care Coordinator,2023-03-10,iOS,8,Casual,No,
U0060,Primary Care,Registered Nurse,2023-03-21,Web,13,Active,No,
U0061,Pediatrics,Care Coordinator,2023-02-09,iOS,10,Active,No,
U0062,Primary Care,Physician Assistant,2023-03-28,iOS,12,Active,No,
U0063,Neurology,Care Coordinator,2023-01-01,iOS,11,Active,No,
U0064,Neurology,Physician Assistant,2023-03-28,Web,18,Active,No,
U0065,Primary Care,Nurse Practitioner,2023-03-26,iOS,20,Power User,No,
U0066,Cardiology,Registered Nurse,2023-01-29,Android,24,Power User,No,2023-10-31
U0067,Emergency,Physician,2023-02-28,Web,13,Active,No,
U0068,Cardiology,Nurse Practitioner,2023-03-25,iOS,19,Active,No,
U0069,Oncology,Physician Assistant,2023-01-29,iOS,20,Power User,Yes,
U0070,Oncology,Physician Assistant,2023-01-18,Android,24,Power User,No,
U0071,Emergency,Registered Nurse,2023-02-26,iOS,17,Active,No,
U0072,Cardiology,Physician Assistant,2023-02-27,Web,11,Active,No,
U0073,Emergency,Physician Assistant,2023-03-22,iOS,15,Active,No,
U0074,Emergency,Physician,2023-01-18,Web,22,Power User,No,
U0075,Cardiology,Physician,2023-02-23,Web,14,Active,No,
U0076,Emergency,Physician,2023-03-15,Web,21,Power User,Yes,
U0077,Neurology,Physician Assistant,2023-03-10,iOS,15,Active,No,
U0078,Neurology,Physician Assistant,2023-01-04,Web,10,Active,No,
U0079,Primary Care,Nurse Practitioner,2023-03-01,iOS,26,Power User,No,
U0080,Primary Care,Physician,2023-01-11,iOS,13,Active,No,
U0081,Oncology,Registered Nurse,2023-02-18,Web,20,Power User,No,
