order_id,order_date,customer_id,customer_type,product_name,category,unit_price,quantity,revenue,channel,device,region,returned,return_reason,month,month_name,week,weekday,is_returned
ORD-1667,2025-01-07,CUST-2338,New,Oversized Linen Tee,Apparel,24.0,1,24.0,Organic Search,Mobile,Northeast,No,,1,January,2,Tuesday,False
ORD-2293,2025-01-13,CUST-1051,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Referral,Desktop,Midwest,No,,1,January,3,Monday,False
ORD-1286,2025-01-03,CUST-2023,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Organic Search,Desktop,West,No,,1,January,1,Friday,False
ORD-5348,2025-02-12,CUST-2037,New,Stoneware Mug Set,Home & Kitchen,34.0,1,34.0,Direct,Mobile,Northeast,No,,2,February,7,Wednesday,False
ORD-3663,2025-01-27,CUST-2036,New,Canvas Weekender Bag,Accessories,59.99,2,119.98,Paid Social,Desktop,Southwest,No,,1,January,5,Monday,False
ORD-5221,2025-02-11,CUST-0430,Returning,Oversized Linen Tee,Apparel,24.0,1,24.0,Organic Search,Mobile,Southeast,No,,2,February,7,Tuesday,False
ORD-1209,2025-01-02,CUST-1124,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,3,48.0,Direct,Mobile,Southeast,No,,1,January,1,Thursday,False
ORD-6601,2025-02-22,CUST-1632,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Email,Desktop,Midwest,No,,2,February,8,Saturday,False
ORD-8626,2025-03-13,CUST-0643,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Paid Social,Desktop,Northeast,No,,3,March,11,Thursday,False
ORD-8341,2025-03-11,CUST-0879,New,Leather Card Wallet,Accessories,25.0,2,50.0,Email,Desktop,Southeast,No,,3,March,11,Tuesday,False
ORD-8681,2025-03-13,CUST-1826,New,Canvas Weekender Bag,Accessories,59.99,2,119.98,Email,Mobile,Northeast,No,,3,March,11,Thursday,False
ORD-1619,2025-01-07,CUST-0395,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Direct,Desktop,Southeast,Yes,Changed mind,1,January,2,Tuesday,True
ORD-3899,2025-01-29,CUST-0948,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Email,Desktop,West,Yes,Not as described,1,January,5,Wednesday,True
ORD-6030,2025-02-17,CUST-0927,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Organic Search,Mobile,Northeast,Yes,Wrong size,2,February,8,Monday,True
ORD-8254,2025-03-10,CUST-1094,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,3,48.0,Organic Search,Desktop,Southwest,No,,3,March,11,Monday,False
ORD-8308,2025-03-10,CUST-0582,Returning,Leather Card Wallet,Accessories,25.0,2,50.0,Paid Social,Mobile,Northeast,No,,3,March,11,Monday,False
ORD-4323,2025-02-03,CUST-0383,Returning,Stoneware Mug Set,Home & Kitchen,34.0,1,34.0,Organic Search,Mobile,Southwest,No,,2,February,6,Monday,False
ORD-6006,2025-02-16,CUST-0573,Returning,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Referral,Mobile,West,No,,2,February,7,Sunday,False
ORD-4051,2025-01-31,CUST-1560,New,Ribbed Beanie,Apparel,22.0,1,22.0,Referral,Desktop,Southwest,No,,1,January,5,Friday,False
ORD-10215,2025-03-27,CUST-0465,Returning,French Press Mug,Home & Kitchen,20.0,2,40.0,Email,Desktop,Southwest,No,,3,March,13,Thursday,False
ORD-10066,2025-03-25,CUST-2046,New,Leather Card Wallet,Accessories,25.0,1,25.0,Organic Search,Desktop,West,No,,3,March,13,Tuesday,False
ORD-3715,2025-01-27,CUST-1855,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Paid Social,Desktop,West,Yes,Wrong size,1,January,5,Monday,True
ORD-5484,2025-02-12,CUST-0979,New,Ceramic Pour-Over Kit,Home & Kitchen,25.0,2,50.0,Paid Social,Mobile,Northeast,Yes,Not as described,2,February,7,Wednesday,True
ORD-1996,2025-01-10,CUST-2227,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,3,48.0,Email,Desktop,Southeast,No,,1,January,2,Friday,False
ORD-2073,2025-01-11,CUST-1378,New,Leather Card Wallet,Accessories,25.0,1,25.0,Direct,Desktop,West,No,,1,January,2,Saturday,False
