order_id,order_date,customer_id,customer_type,product_name,category,unit_price,quantity,revenue,channel,device,region,returned,return_reason
ORD-1667,2025-01-07,CUST-2338,New,Oversized Linen Tee,Apparel,24.0,1,24.0,Organic Search,Mobile,Northeast,No,
ORD-2293,2025-01-13,CUST-1051,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Referral,Desktop,Midwest,No,
ORD-1286,2025-01-03,CUST-2023,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Organic Search,Desktop,West,No,
ORD-5348,2025-02-12,CUST-2037,New,Stoneware Mug Set,Home & Kitchen,34.0,1,34.0,Direct,Mobile,Northeast,No,
ORD-3663,2025-01-27,CUST-2036,New,Canvas Weekender Bag,Accessories,59.99,2,119.98,Paid Social,Desktop,Southwest,No,
ORD-5221,2025-02-11,CUST-0430,Returning,Oversized Linen Tee,Apparel,24.0,1,24.0,Organic Search,Mobile,Southeast,No,
ORD-1209,2025-01-02,CUST-1124,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,3,48.0,Direct,Mobile,Southeast,No,
ORD-6601,2025-02-22,CUST-1632,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Email,Desktop,Midwest,No,
ORD-8626,2025-03-13,CUST-0643,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Paid Social,Desktop,Northeast,No,
ORD-8341,2025-03-11,CUST-0879,New,Leather Card Wallet,Accessories,25.0,2,50.0,Email,Desktop,Southeast,No,
ORD-8681,2025-03-13,CUST-1826,New,Canvas Weekender Bag,Accessories,59.99,2,119.98,Email,Mobile,Northeast,No,
ORD-1619,2025-01-07,CUST-0395,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Direct,Desktop,Southeast,Yes,Changed mind
ORD-3899,2025-01-29,CUST-0948,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Email,Desktop,West,Yes,Not as described
ORD-6030,2025-02-17,CUST-0927,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Organic Search,Mobile,Northeast,Yes,Wrong size
ORD-8254,2025-03-10,CUST-1094,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,3,48.0,Organic Search,Desktop,Southwest,No,
ORD-8308,2025-03-10,CUST-0582,Returning,Leather Card Wallet,Accessories,25.0,2,50.0,Paid Social,Mobile,Northeast,No,
ORD-4323,2025-02-03,CUST-0383,Returning,Stoneware Mug Set,Home & Kitchen,34.0,1,34.0,Organic Search,Mobile,Southwest,No,
ORD-6006,2025-02-16,CUST-0573,Returning,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Referral,Mobile,West,No,
ORD-4051,2025-01-31,CUST-1560,New,Ribbed Beanie,Apparel,22.0,1,22.0,Referral,Desktop,Southwest,No,
ORD-10215,2025-03-27,CUST-0465,Returning,French Press Mug,Home & Kitchen,20.0,2,40.0,Email,Desktop,Southwest,No,
ORD-10066,2025-03-25,CUST-2046,New,Leather Card Wallet,Accessories,25.0,1,25.0,Organic Search,Desktop,West,No,
ORD-3715,2025-01-27,CUST-1855,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Paid Social,Desktop,West,Yes,Wrong size
ORD-5484,2025-02-12,CUST-0979,New,Ceramic Pour-Over Kit,Home & Kitchen,25.0,2,50.0,Paid Social,Mobile,Northeast,Yes,Not as described
ORD-1996,2025-01-10,CUST-2227,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,3,48.0,Email,Desktop,Southeast,No,
ORD-2073,2025-01-11,CUST-1378,New,Leather Card Wallet,Accessories,25.0,1,25.0,Direct,Desktop,West,No,
ORD-3457,2025-01-24,CUST-0449,Returning,Leather Card Wallet,Accessories,25.0,1,25.0,Organic Search,Mobile,Northeast,No,
ORD-6177,2025-02-18,CUST-0487,Returning,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Organic Search,Mobile,Midwest,No,
ORD-7176,2025-02-28,CUST-1293,New,Oversized Linen Tee,Apparel,24.0,1,24.0,Paid Social,Mobile,Midwest,No,
ORD-7489,2025-03-03,CUST-2177,New,Oversized Linen Tee,Apparel,24.0,1,24.0,Paid Social,Tablet,Northeast,No,
ORD-1817,2025-01-09,CUST-0712,Returning,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Organic Search,Mobile,West,No,
ORD-5153,2025-02-10,CUST-1420,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Referral,Mobile,Southwest,No,
ORD-3989,2025-01-30,CUST-0855,New,Linen Joggers - Slate,Apparel,32.0,1,32.0,Paid Social,Mobile,Northeast,No,
ORD-8473,2025-03-12,CUST-1827,New,Linen Joggers - Slate,Apparel,32.0,1,32.0,Referral,Desktop,West,No,
ORD-1819,2025-01-09,CUST-2130,New,Oversized Linen Tee,Apparel,24.0,2,48.0,Email,Mobile,Midwest,No,
ORD-8047,2025-03-08,CUST-0628,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Paid Social,Desktop,Midwest,No,
ORD-7943,2025-03-07,CUST-0637,Returning,Ribbed Beanie,Apparel,22.0,1,22.0,Paid Social,Tablet,Southeast,No,
ORD-9681,2025-03-22,CUST-1117,New,Canvas Weekender Bag,Accessories,59.99,1,59.99,Email,Mobile,Southeast,No,
ORD-6367,2025-02-20,CUST-0349,Returning,Woven Market Tote,Accessories,18.0,1,18.0,Referral,Desktop,West,No,
ORD-8572,2025-03-12,CUST-1543,New,Linen Joggers - Slate,Apparel,32.0,1,32.0,Paid Social,Mobile,Northeast,No,
ORD-9851,2025-03-24,CUST-0693,Returning,Linen Joggers - Slate,Apparel,32.0,2,64.0,Email,Desktop,Southwest,No,
ORD-8259,2025-03-10,CUST-2245,New,Linen Joggers - Slate,Apparel,32.0,3,96.0,Paid Social,Mobile,West,Yes,Changed mind
ORD-2366,2025-01-14,CUST-0255,Returning,Leather Card Wallet,Accessories,25.0,1,25.0,Email,Desktop,West,No,
ORD-1059,2025-01-01,CUST-0734,Returning,Linen Joggers - Slate,Apparel,32.0,2,64.0,Organic Search,Desktop,West,Yes,Wrong size
ORD-6020,2025-02-17,CUST-0762,Returning,Brass Key Hook,Home & Kitchen,14.0,1,14.0,Direct,Desktop,Southwest,No,
ORD-4239,2025-02-02,CUST-0660,Returning,Ceramic Pour-Over Kit,Home & Kitchen,25.0,1,25.0,Paid Social,Mobile,West,No,
ORD-7211,2025-02-28,CUST-2335,New,Oversized Linen Tee,Apparel,24.0,1,24.0,Organic Search,Mobile,Northeast,No,
ORD-5782,2025-02-14,CUST-0253,Returning,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Direct,Mobile,West,No,
ORD-7849,2025-03-06,CUST-1940,New,Leather Card Wallet,Accessories,25.0,1,25.0,Organic Search,Mobile,Southwest,No,
ORD-8509,2025-03-12,CUST-2056,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Paid Social,Desktop,Northeast,No,
ORD-7199,2025-02-28,CUST-2312,New,Brass Key Hook,Home & Kitchen,14.0,1,14.0,Organic Search,Mobile,Northeast,No,
ORD-3403,2025-01-24,CUST-0700,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Paid Social,Desktop,Southeast,No,
ORD-3287,2025-01-23,CUST-1630,New,Canvas Weekender Bag,Accessories,59.99,1,59.99,Direct,Tablet,Midwest,No,
ORD-6321,2025-02-19,CUST-0254,Returning,Woven Market Tote,Accessories,18.0,3,54.0,Paid Social,Mobile,Midwest,No,
ORD-7209,2025-02-28,CUST-1284,New,Stoneware Mug Set,Home & Kitchen,34.0,1,34.0,Referral,Mobile,West,No,
ORD-1145,2025-01-02,CUST-1118,New,Merino Crew Sweater,Apparel,69.0,2,138.0,Organic Search,Mobile,Southwest,Yes,Changed mind
ORD-3211,2025-01-22,CUST-2354,New,Woven Market Tote,Accessories,18.0,1,18.0,Organic Search,Desktop,Midwest,No,
ORD-6637,2025-02-22,CUST-2121,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,2,32.0,Referral,Mobile,Northeast,No,
ORD-5318,2025-02-11,CUST-0719,Returning,Ceramic Pour-Over Kit,Home & Kitchen,25.0,1,25.0,Organic Search,Mobile,Southeast,No,
ORD-8762,2025-03-14,CUST-1812,New,Leather Card Wallet,Accessories,25.0,1,25.0,Email,Mobile,Southwest,No,
ORD-6263,2025-02-19,CUST-1728,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Organic Search,Mobile,West,No,
ORD-7578,2025-03-04,CUST-1153,New,Merino Crew Sweater,Apparel,69.0,1,69.0,Organic Search,Tablet,Southwest,No,
ORD-2199,2025-01-13,CUST-0433,Returning,Leather Card Wallet,Accessories,25.0,1,25.0,Email,Desktop,Midwest,No,
ORD-10400,2025-03-28,CUST-0045,Returning,Linen Joggers - Slate,Apparel,32.0,1,32.0,Email,Mobile,Northeast,No,
ORD-2892,2025-01-19,CUST-0239,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Organic Search,Mobile,Southwest,No,
ORD-8192,2025-03-09,CUST-0905,New,Merino Crew Sweater,Apparel,69.0,1,69.0,Direct,Mobile,Southeast,Yes,Defective
ORD-1723,2025-01-08,CUST-0101,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Paid Social,Mobile,Southwest,Yes,Defective
ORD-6450,2025-02-20,CUST-1229,New,Ribbed Beanie,Apparel,22.0,2,44.0,Organic Search,Desktop,Northeast,No,
ORD-10512,2025-03-30,CUST-2477,New,Oversized Linen Tee,Apparel,24.0,1,24.0,Organic Search,Mobile,Southwest,Yes,Changed mind
ORD-8483,2025-03-12,CUST-0546,Returning,Ceramic Pour-Over Kit,Home & Kitchen,25.0,1,25.0,Organic Search,Mobile,Southwest,No,
ORD-1618,2025-01-07,CUST-0564,Returning,Ceramic Pour-Over Kit,Home & Kitchen,25.0,1,25.0,Paid Social,Mobile,Northeast,No,
ORD-8770,2025-03-14,CUST-1253,New,French Press Mug,Home & Kitchen,20.0,2,40.0,Organic Search,Desktop,Southeast,No,
ORD-8074,2025-03-08,CUST-1721,New,Oversized Linen Tee,Apparel,24.0,1,24.0,Organic Search,Desktop,Northeast,No,
ORD-6542,2025-02-21,CUST-0697,Returning,Merino Crew Sweater,Apparel,69.0,1,69.0,Paid Social,Tablet,Southwest,No,
ORD-7371,2025-03-02,CUST-1133,New,Ceramic Pour-Over Kit,Home & Kitchen,25.0,1,25.0,Organic Search,Mobile,Midwest,No,
ORD-1970,2025-01-10,CUST-1964,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Paid Social,Mobile,West,No,
ORD-2176,2025-01-12,CUST-1141,New,Leather Card Wallet,Accessories,25.0,1,25.0,Organic Search,Desktop,Southwest,No,
ORD-4547,2025-02-05,CUST-0206,Returning,French Press Mug,Home & Kitchen,20.0,1,20.0,Paid Social,Tablet,Midwest,No,
ORD-7181,2025-02-28,CUST-0383,Returning,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Email,Mobile,West,No,
ORD-7859,2025-03-06,CUST-1299,New,Ribbed Beanie,Apparel,22.0,2,44.0,Paid Social,Mobile,Southwest,No,
ORD-9459,2025-03-20,CUST-2182,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Paid Social,Mobile,West,No,
ORD-3338,2025-01-23,CUST-2390,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Email,Desktop,Northeast,No,
ORD-9015,2025-03-17,CUST-0823,New,Linen Joggers - Slate,Apparel,32.0,1,32.0,Organic Search,Tablet,Northeast,No,
ORD-8373,2025-03-11,CUST-1833,New,Stoneware Mug Set,Home & Kitchen,34.0,2,68.0,Organic Search,Mobile,West,No,
ORD-6350,2025-02-20,CUST-2452,New,French Press Mug,Home & Kitchen,20.0,1,20.0,Email,Mobile,West,No,
ORD-8689,2025-03-13,CUST-0270,Returning,Woven Market Tote,Accessories,18.0,2,36.0,Direct,Desktop,Northeast,No,
ORD-5586,2025-02-13,CUST-1833,New,Oversized Linen Tee,Apparel,24.0,3,72.0,Direct,Desktop,West,No,
ORD-6830,2025-02-24,CUST-0071,Returning,Ribbed Beanie,Apparel,22.0,2,44.0,Organic Search,Mobile,Southeast,No,
ORD-7253,2025-02-28,CUST-2218,New,Oversized Linen Tee,Apparel,24.0,2,48.0,Organic Search,Desktop,Midwest,No,
ORD-4806,2025-02-07,CUST-1760,New,Ribbed Beanie,Apparel,22.0,1,22.0,Paid Social,Mobile,Northeast,No,
ORD-2562,2025-01-16,CUST-1990,New,Bamboo Cutting Board Set,Home & Kitchen,16.0,1,16.0,Direct,Desktop,Midwest,No,
ORD-4587,2025-02-05,CUST-0270,Returning,Linen Joggers - Slate,Apparel,32.0,1,32.0,Email,Desktop,Southeast,No,
ORD-7676,2025-03-04,CUST-0959,New,Leather Card Wallet,Accessories,25.0,1,25.0,Organic Search,Mobile,Northeast,No,
ORD-7404,2025-03-02,CUST-0682,Returning,Bamboo Cutting Board Set,Home & Kitchen,16.0,3,48.0,Direct,Mobile,Southwest,Yes,Defective
ORD-2115,2025-01-11,CUST-0501,Returning,French Press Mug,Home & Kitchen,20.0,3,60.0,Organic Search,Tablet,Southwest,No,
